dataset,model,detector,treatment,run,fold,score
elevators,mlp_deep,IsolationForest,remove,0,0,6.4817798213707776e-06
elevators,mlp_deep,IsolationForest,remove,0,1,4.773944838347366e-06
elevators,mlp_deep,IsolationForest,remove,0,2,2.8015665600077565e-05
elevators,mlp_deep,IsolationForest,remove,0,3,1.4969152013174773e-05
elevators,mlp_deep,IsolationForest,remove,0,4,5.654134185706799e-06
elevators,mlp_deep,IsolationForest,remove,0,5,4.771185969572074e-06
elevators,mlp_deep,IsolationForest,remove,0,6,5.249640163723806e-06
elevators,mlp_deep,IsolationForest,remove,0,7,8.37127231051982e-06
elevators,mlp_deep,IsolationForest,remove,0,8,0.00012481886863379934
elevators,mlp_deep,IsolationForest,remove,0,9,4.172907249906427e-06
elevators,mlp_deep,IsolationForest,remove,1,0,9.041587665687167e-06
elevators,mlp_deep,IsolationForest,remove,1,1,5.007426015361406e-06
elevators,mlp_deep,IsolationForest,remove,1,2,1.4460959533573515e-05
elevators,mlp_deep,IsolationForest,remove,1,3,4.7113107439606936e-06
elevators,mlp_deep,IsolationForest,remove,1,4,4.217424398115555e-06
elevators,mlp_deep,IsolationForest,remove,1,5,0.0006038760041510367
elevators,mlp_deep,IsolationForest,remove,1,6,1.7986582017705634e-05
elevators,mlp_deep,IsolationForest,remove,1,7,4.185163083971656e-05
elevators,mlp_deep,IsolationForest,remove,1,8,4.560734940014832e-06
elevators,mlp_deep,IsolationForest,remove,1,9,4.243607614611862e-05
elevators,mlp_deep,IsolationForest,remove,2,0,4.7002715801321816e-05
elevators,mlp_deep,IsolationForest,remove,2,1,4.936116853585614e-06
elevators,mlp_deep,IsolationForest,remove,2,2,7.560939897196844e-06
elevators,mlp_deep,IsolationForest,remove,2,3,2.0787165107626145e-05
elevators,mlp_deep,IsolationForest,remove,2,4,5.514537562491644e-06
elevators,mlp_deep,IsolationForest,remove,2,5,4.073226789535008e-06
elevators,mlp_deep,IsolationForest,remove,2,6,5.365884787206727e-06
elevators,mlp_deep,IsolationForest,remove,2,7,7.676505008578254e-06
elevators,mlp_deep,IsolationForest,remove,2,8,6.5724816187271034e-06
elevators,mlp_deep,IsolationForest,remove,2,9,7.129884780685858e-06
