dataset,model,detector,treatment,run,fold,score
elevators,mlp_deep,LOF,remove,0,0,9.897613712748405e-05
elevators,mlp_deep,LOF,remove,0,1,9.327992691141713e-06
elevators,mlp_deep,LOF,remove,0,2,4.0955997213933184e-06
elevators,mlp_deep,LOF,remove,0,3,9.849903704532294e-06
elevators,mlp_deep,LOF,remove,0,4,9.360626769178243e-06
elevators,mlp_deep,LOF,remove,0,5,7.293424136152666e-05
elevators,mlp_deep,LOF,remove,0,6,8.803285489938497e-05
elevators,mlp_deep,LOF,remove,0,7,5.390999786301763e-06
elevators,mlp_deep,LOF,remove,0,8,5.339485369357191e-06
elevators,mlp_deep,LOF,remove,0,9,3.978909044412782e-06
elevators,mlp_deep,LOF,remove,1,0,1.4880501417857006e-05
elevators,mlp_deep,LOF,remove,1,1,4.16268292017953e-06
elevators,mlp_deep,LOF,remove,1,2,1.3446000559874446e-05
elevators,mlp_deep,LOF,remove,1,3,0.0007099282436672898
elevators,mlp_deep,LOF,remove,1,4,0.0001418833899676166
elevators,mlp_deep,LOF,remove,1,5,5.942134994755471e-06
elevators,mlp_deep,LOF,remove,1,6,4.591040521003355e-05
elevators,mlp_deep,LOF,remove,1,7,4.7789530168754375e-06
elevators,mlp_deep,LOF,remove,1,8,0.0001601057355019799
elevators,mlp_deep,LOF,remove,1,9,5.000233141274661e-06
elevators,mlp_deep,LOF,remove,2,0,9.864726848678042e-05
elevators,mlp_deep,LOF,remove,2,1,2.458987310845429e-05
elevators,mlp_deep,LOF,remove,2,2,0.00010233817311018215
elevators,mlp_deep,LOF,remove,2,3,2.0045291497569076e-05
elevators,mlp_deep,LOF,remove,2,4,4.0157450050662104e-05
elevators,mlp_deep,LOF,remove,2,5,0.0009171753170197236
elevators,mlp_deep,LOF,remove,2,6,3.4526994804600764e-05
elevators,mlp_deep,LOF,remove,2,7,0.00021581842721782215
elevators,mlp_deep,LOF,remove,2,8,4.570936788115529e-05
elevators,mlp_deep,LOF,remove,2,9,0.001291653756246793
