dataset,model,detector,treatment,run,fold,score
elevators,mlp_deep,Percentile,remove,0,0,6.37475318818579e-05
elevators,mlp_deep,Percentile,remove,0,1,0.000805370432485778
elevators,mlp_deep,Percentile,remove,0,2,0.0005123907695295566
elevators,mlp_deep,Percentile,remove,0,3,0.00040973047504173687
elevators,mlp_deep,Percentile,remove,0,4,0.00023710985180711347
elevators,mlp_deep,Percentile,remove,0,5,0.0006492355511004716
elevators,mlp_deep,Percentile,remove,0,6,0.0001844763335606597
elevators,mlp_deep,Percentile,remove,0,7,0.0007725832275757716
elevators,mlp_deep,Percentile,remove,0,8,0.00025826145344822827
elevators,mlp_deep,Percentile,remove,0,9,0.0002707359345364037
elevators,mlp_deep,Percentile,remove,1,0,0.00014750483971581678
elevators,mlp_deep,Percentile,remove,1,1,0.00018713923003907737
elevators,mlp_deep,Percentile,remove,1,2,0.0001716019533655642
elevators,mlp_deep,Percentile,remove,1,3,0.001017120478294938
elevators,mlp_deep,Percentile,remove,1,4,0.0008730595973741062
elevators,mlp_deep,Percentile,remove,1,5,0.0001986924160222473
elevators,mlp_deep,Percentile,remove,1,6,0.00014200011494372873
elevators,mlp_deep,Percentile,remove,1,7,0.00017674726056422918
elevators,mlp_deep,Percentile,remove,1,8,0.00021493090799821834
elevators,mlp_deep,Percentile,remove,1,9,0.00014591745747808584
elevators,mlp_deep,Percentile,remove,2,0,0.0008046533125879663
elevators,mlp_deep,Percentile,remove,2,1,0.0001663833027568917
elevators,mlp_deep,Percentile,remove,2,2,0.0015108614423880635
elevators,mlp_deep,Percentile,remove,2,3,0.00034535029853193996
elevators,mlp_deep,Percentile,remove,2,4,0.0004440886280731342
elevators,mlp_deep,Percentile,remove,2,5,0.00023840973644185666
elevators,mlp_deep,Percentile,remove,2,6,0.0001290927772860035
elevators,mlp_deep,Percentile,remove,2,7,0.0012513145163345766
elevators,mlp_deep,Percentile,remove,2,8,0.00031701229032546005
elevators,mlp_deep,Percentile,remove,2,9,0.00018059210441602377
