dataset,model,detector,treatment,run,fold,score
elevators,mlp_deep,ZScore,clip,0,0,0.0006839088464536215
elevators,mlp_deep,ZScore,clip,0,1,0.00018017306166923534
elevators,mlp_deep,ZScore,clip,0,2,1.3556683486000946e-05
elevators,mlp_deep,ZScore,clip,0,3,6.4521651352702925e-06
elevators,mlp_deep,ZScore,clip,0,4,4.879294125219075e-06
elevators,mlp_deep,ZScore,clip,0,5,0.0001880955994438552
elevators,mlp_deep,ZScore,clip,0,6,1.1774728132174151e-05
elevators,mlp_deep,ZScore,clip,0,7,5.145122664607904e-06
elevators,mlp_deep,ZScore,clip,0,8,0.0001259422360560214
elevators,mlp_deep,ZScore,clip,0,9,4.7013333027614266e-05
elevators,mlp_deep,ZScore,clip,1,0,3.1199907267682176e-05
elevators,mlp_deep,ZScore,clip,1,1,7.063681575102704e-06
elevators,mlp_deep,ZScore,clip,1,2,1.627869159196631e-05
elevators,mlp_deep,ZScore,clip,1,3,1.0972223689559405e-05
elevators,mlp_deep,ZScore,clip,1,4,9.996112247766629e-06
elevators,mlp_deep,ZScore,clip,1,5,0.012380108633993584
elevators,mlp_deep,ZScore,clip,1,6,6.075583348718065e-06
elevators,mlp_deep,ZScore,clip,1,7,5.828067237935722e-06
elevators,mlp_deep,ZScore,clip,1,8,6.411612308189095e-06
elevators,mlp_deep,ZScore,clip,1,9,1.1550407459735871e-05
elevators,mlp_deep,ZScore,clip,2,0,2.0024852946402727e-05
elevators,mlp_deep,ZScore,clip,2,1,1.5031880548025754e-05
elevators,mlp_deep,ZScore,clip,2,2,2.078329856767244e-05
elevators,mlp_deep,ZScore,clip,2,3,8.681580835555107e-06
elevators,mlp_deep,ZScore,clip,2,4,0.00020772077003868518
elevators,mlp_deep,ZScore,clip,2,5,0.00010033743370094062
elevators,mlp_deep,ZScore,clip,2,6,5.11569772214832e-06
elevators,mlp_deep,ZScore,clip,2,7,9.023038492924033e-05
elevators,mlp_deep,ZScore,clip,2,8,5.2037501194287e-06
elevators,mlp_deep,ZScore,clip,2,9,5.360274720235697e-05
