dataset,model,detector,treatment,run,fold,score
elevators,randomforest,None,remove,0,0,8.26010639698965e-06
elevators,randomforest,None,remove,0,1,6.7729970837253015e-06
elevators,randomforest,None,remove,0,2,7.470545625587959e-06
elevators,randomforest,None,remove,0,3,7.899810451977402e-06
elevators,randomforest,None,remove,0,4,7.447979284369109e-06
elevators,randomforest,None,remove,0,5,7.915063182674197e-06
elevators,randomforest,None,remove,0,6,7.622450941619584e-06
elevators,randomforest,None,remove,0,7,9.479585028248583e-06
elevators,randomforest,None,remove,0,8,7.953725894538607e-06
elevators,randomforest,None,remove,0,9,8.149478060263654e-06
elevators,randomforest,None,remove,1,0,7.70354929444967e-06
elevators,randomforest,None,remove,1,1,8.019456632173094e-06
elevators,randomforest,None,remove,1,2,7.89977158984007e-06
elevators,randomforest,None,remove,1,3,7.729482956685501e-06
elevators,randomforest,None,remove,1,4,7.20011459510358e-06
elevators,randomforest,None,remove,1,5,7.61331939736347e-06
elevators,randomforest,None,remove,1,6,7.709364689265538e-06
elevators,randomforest,None,remove,1,7,9.134203295668549e-06
elevators,randomforest,None,remove,1,8,7.54927184557439e-06
elevators,randomforest,None,remove,1,9,7.566168455743876e-06
elevators,randomforest,None,remove,2,0,8.058217591721538e-06
elevators,randomforest,None,remove,2,1,9.294077986829728e-06
elevators,randomforest,None,remove,2,2,7.320173941674505e-06
elevators,randomforest,None,remove,2,3,7.466530037664778e-06
elevators,randomforest,None,remove,2,4,7.484035499058377e-06
elevators,randomforest,None,remove,2,5,8.574411299435031e-06
elevators,randomforest,None,remove,2,6,8.271245574387949e-06
elevators,randomforest,None,remove,2,7,8.240095480225992e-06
elevators,randomforest,None,remove,2,8,7.2563153483992435e-06
elevators,randomforest,None,remove,2,9,8.56322768361582e-06
