dataset,model,detector,treatment,run,fold,score
elevators,randomforest,ZScore,remove,0,0,1.0811718250235182e-05
elevators,randomforest,ZScore,remove,0,1,9.462444684854186e-06
elevators,randomforest,ZScore,remove,0,2,9.213335841956726e-06
elevators,randomforest,ZScore,remove,0,3,1.0610451318267418e-05
elevators,randomforest,ZScore,remove,0,4,9.41218775894538e-06
elevators,randomforest,ZScore,remove,0,5,9.181621845574385e-06
elevators,randomforest,ZScore,remove,0,6,8.95794378531073e-06
elevators,randomforest,ZScore,remove,0,7,1.1456800941619585e-05
elevators,randomforest,ZScore,remove,0,8,9.480541431261769e-06
elevators,randomforest,ZScore,remove,0,9,1.1447115065913368e-05
elevators,randomforest,ZScore,remove,1,0,1.0787450611476952e-05
elevators,randomforest,ZScore,remove,1,1,1.1190412605832546e-05
elevators,randomforest,ZScore,remove,1,2,1.0528500846660388e-05
elevators,randomforest,ZScore,remove,1,3,9.232731920903951e-06
elevators,randomforest,ZScore,remove,1,4,9.448206308851225e-06
elevators,randomforest,ZScore,remove,1,5,1.0155831826741999e-05
elevators,randomforest,ZScore,remove,1,6,9.115091054613934e-06
elevators,randomforest,ZScore,remove,1,7,1.125556694915254e-05
elevators,randomforest,ZScore,remove,1,8,9.254327118644065e-06
elevators,randomforest,ZScore,remove,1,9,9.260601224105453e-06
elevators,randomforest,ZScore,remove,2,0,9.824146472248346e-06
elevators,randomforest,ZScore,remove,2,1,1.2245135653809971e-05
elevators,randomforest,ZScore,remove,2,2,8.754058889934144e-06
elevators,randomforest,ZScore,remove,2,3,1.0602714971751408e-05
elevators,randomforest,ZScore,remove,2,4,1.0186992467043315e-05
elevators,randomforest,ZScore,remove,2,5,9.710972787193973e-06
elevators,randomforest,ZScore,remove,2,6,1.0304216854990582e-05
elevators,randomforest,ZScore,remove,2,7,9.011696892655366e-06
elevators,randomforest,ZScore,remove,2,8,1.0286084934086627e-05
elevators,randomforest,ZScore,remove,2,9,1.0516967043314501e-05
