dataset,model,detector,treatment,run,fold,score
elevators,xgboost,Autoencoder,remove,0,0,5.792225163954915e-06
elevators,xgboost,Autoencoder,remove,0,1,5.264119793122028e-06
elevators,xgboost,Autoencoder,remove,0,2,5.6239007448813156e-06
elevators,xgboost,Autoencoder,remove,0,3,5.515278786501092e-06
elevators,xgboost,Autoencoder,remove,0,4,6.2989116298523605e-06
elevators,xgboost,Autoencoder,remove,0,5,5.571059320850356e-06
elevators,xgboost,Autoencoder,remove,0,6,5.721413003405516e-06
elevators,xgboost,Autoencoder,remove,0,7,6.5267523893978445e-06
elevators,xgboost,Autoencoder,remove,0,8,5.685892083029677e-06
elevators,xgboost,Autoencoder,remove,0,9,5.644122803116835e-06
elevators,xgboost,Autoencoder,remove,1,0,5.713458636827824e-06
elevators,xgboost,Autoencoder,remove,1,1,6.2222062881282555e-06
elevators,xgboost,Autoencoder,remove,1,2,6.429682855315139e-06
elevators,xgboost,Autoencoder,remove,1,3,5.9701311606169875e-06
elevators,xgboost,Autoencoder,remove,1,4,5.3180591113475185e-06
elevators,xgboost,Autoencoder,remove,1,5,5.396520676038859e-06
elevators,xgboost,Autoencoder,remove,1,6,6.1092203156363115e-06
elevators,xgboost,Autoencoder,remove,1,7,6.140478744384406e-06
elevators,xgboost,Autoencoder,remove,1,8,5.4836644175658685e-06
elevators,xgboost,Autoencoder,remove,1,9,5.635823322910981e-06
elevators,xgboost,Autoencoder,remove,2,0,5.9829851706843284e-06
elevators,xgboost,Autoencoder,remove,2,1,6.223021264024704e-06
elevators,xgboost,Autoencoder,remove,2,2,4.733604548488882e-06
elevators,xgboost,Autoencoder,remove,2,3,5.903932453188698e-06
elevators,xgboost,Autoencoder,remove,2,4,5.160722396325143e-06
elevators,xgboost,Autoencoder,remove,2,5,5.67054620297417e-06
elevators,xgboost,Autoencoder,remove,2,6,5.977218114905241e-06
elevators,xgboost,Autoencoder,remove,2,7,5.7119586849205064e-06
elevators,xgboost,Autoencoder,remove,2,8,5.792735128838699e-06
elevators,xgboost,Autoencoder,remove,2,9,6.4371085181896925e-06
