dataset,model,detector,treatment,run,fold,score
elevators,xgboost,IsolationForest,remove,0,0,7.3899032102631195e-06
elevators,xgboost,IsolationForest,remove,0,1,7.767386919287503e-06
elevators,xgboost,IsolationForest,remove,0,2,7.4635780699032064e-06
elevators,xgboost,IsolationForest,remove,0,3,7.838740448267201e-06
elevators,xgboost,IsolationForest,remove,0,4,6.971645710140283e-06
elevators,xgboost,IsolationForest,remove,0,5,6.645159186730174e-06
elevators,xgboost,IsolationForest,remove,0,6,7.374535847653022e-06
elevators,xgboost,IsolationForest,remove,0,7,7.951286269022908e-06
elevators,xgboost,IsolationForest,remove,0,8,8.261368056961737e-06
elevators,xgboost,IsolationForest,remove,0,9,8.742537329845125e-06
elevators,xgboost,IsolationForest,remove,1,0,8.278011150197381e-06
elevators,xgboost,IsolationForest,remove,1,1,8.102068984493237e-06
elevators,xgboost,IsolationForest,remove,1,2,8.762618413036383e-06
elevators,xgboost,IsolationForest,remove,1,3,6.915630640093632e-06
elevators,xgboost,IsolationForest,remove,1,4,8.377761520071709e-06
elevators,xgboost,IsolationForest,remove,1,5,7.846697829062014e-06
elevators,xgboost,IsolationForest,remove,1,6,7.096350741060357e-06
elevators,xgboost,IsolationForest,remove,1,7,7.4368935809901535e-06
elevators,xgboost,IsolationForest,remove,1,8,7.093642365394356e-06
elevators,xgboost,IsolationForest,remove,1,9,6.8014121141902355e-06
elevators,xgboost,IsolationForest,remove,2,0,7.8769129002525e-06
elevators,xgboost,IsolationForest,remove,2,1,7.862332472014851e-06
elevators,xgboost,IsolationForest,remove,2,2,7.0607532236555735e-06
elevators,xgboost,IsolationForest,remove,2,3,8.330172120188633e-06
elevators,xgboost,IsolationForest,remove,2,4,7.739430003665015e-06
elevators,xgboost,IsolationForest,remove,2,5,7.37021482200793e-06
elevators,xgboost,IsolationForest,remove,2,6,7.324257260697889e-06
elevators,xgboost,IsolationForest,remove,2,7,6.559794784324885e-06
elevators,xgboost,IsolationForest,remove,2,8,1.0046684903095628e-05
elevators,xgboost,IsolationForest,remove,2,9,7.374316610038821e-06
