dataset,model,detector,treatment,run,fold,score
elevators,xgboost,LOF,remove,0,0,5.786891379948596e-06
elevators,xgboost,LOF,remove,0,1,5.328274139118173e-06
elevators,xgboost,LOF,remove,0,2,5.766900997520989e-06
elevators,xgboost,LOF,remove,0,3,5.289822539795564e-06
elevators,xgboost,LOF,remove,0,4,6.3405741532349446e-06
elevators,xgboost,LOF,remove,0,5,6.2149579473335495e-06
elevators,xgboost,LOF,remove,0,6,5.874289780706538e-06
elevators,xgboost,LOF,remove,0,7,6.852862367710875e-06
elevators,xgboost,LOF,remove,0,8,6.075810568734401e-06
elevators,xgboost,LOF,remove,0,9,5.742754190122735e-06
elevators,xgboost,LOF,remove,1,0,6.124405106212725e-06
elevators,xgboost,LOF,remove,1,1,6.138848441058415e-06
elevators,xgboost,LOF,remove,1,2,6.87872368750417e-06
elevators,xgboost,LOF,remove,1,3,6.111142927519189e-06
elevators,xgboost,LOF,remove,1,4,5.284161481695985e-06
elevators,xgboost,LOF,remove,1,5,5.671894039461825e-06
elevators,xgboost,LOF,remove,1,6,5.502135603804238e-06
elevators,xgboost,LOF,remove,1,7,6.166465492144671e-06
elevators,xgboost,LOF,remove,1,8,5.450386795561729e-06
elevators,xgboost,LOF,remove,1,9,5.836151146177218e-06
elevators,xgboost,LOF,remove,2,0,5.813661033652229e-06
elevators,xgboost,LOF,remove,2,1,5.907490655418805e-06
elevators,xgboost,LOF,remove,2,2,5.308489026665864e-06
elevators,xgboost,LOF,remove,2,3,6.145260989128398e-06
elevators,xgboost,LOF,remove,2,4,5.726681493691484e-06
elevators,xgboost,LOF,remove,2,5,5.777142137599908e-06
elevators,xgboost,LOF,remove,2,6,5.9872370103067244e-06
elevators,xgboost,LOF,remove,2,7,6.674833790044594e-06
elevators,xgboost,LOF,remove,2,8,5.566586264628473e-06
elevators,xgboost,LOF,remove,2,9,6.444970879987634e-06
