dataset,model,detector,treatment,run,fold,score
elevators,xgboost,None,remove,0,0,5.782746260301654e-06
elevators,xgboost,None,remove,0,1,5.170967117681145e-06
elevators,xgboost,None,remove,0,2,5.424614819026367e-06
elevators,xgboost,None,remove,0,3,5.164467716613688e-06
elevators,xgboost,None,remove,0,4,6.000276683362097e-06
elevators,xgboost,None,remove,0,5,6.0369432386612025e-06
elevators,xgboost,None,remove,0,6,6.142175410220932e-06
elevators,xgboost,None,remove,0,7,6.318385749642096e-06
elevators,xgboost,None,remove,0,8,5.610549268997822e-06
elevators,xgboost,None,remove,0,9,5.979543936757469e-06
elevators,xgboost,None,remove,1,0,5.372513691857744e-06
elevators,xgboost,None,remove,1,1,5.942152625549894e-06
elevators,xgboost,None,remove,1,2,6.1762832557502454e-06
elevators,xgboost,None,remove,1,3,5.595776860457368e-06
elevators,xgboost,None,remove,1,4,5.633787283929331e-06
elevators,xgboost,None,remove,1,5,5.2732411177813825e-06
elevators,xgboost,None,remove,1,6,5.7004801368270275e-06
elevators,xgboost,None,remove,1,7,5.826209189602078e-06
elevators,xgboost,None,remove,1,8,5.4673272328657835e-06
elevators,xgboost,None,remove,1,9,5.581045416083667e-06
elevators,xgboost,None,remove,2,0,5.7792628950956305e-06
elevators,xgboost,None,remove,2,1,5.688254221605329e-06
elevators,xgboost,None,remove,2,2,5.0512951427406615e-06
elevators,xgboost,None,remove,2,3,5.861375886268633e-06
elevators,xgboost,None,remove,2,4,5.240317959043006e-06
elevators,xgboost,None,remove,2,5,6.3513702311002455e-06
elevators,xgboost,None,remove,2,6,6.0179233582647036e-06
elevators,xgboost,None,remove,2,7,5.488039160705569e-06
elevators,xgboost,None,remove,2,8,5.5799912807165675e-06
elevators,xgboost,None,remove,2,9,6.534954654342297e-06
