dataset,model,detector,treatment,run,fold,score
elevators,xgboost,Percentile,remove,0,0,1.5480066615808763e-05
elevators,xgboost,Percentile,remove,0,1,1.4702421594498254e-05
elevators,xgboost,Percentile,remove,0,2,1.4281485032847217e-05
elevators,xgboost,Percentile,remove,0,3,1.4331544897033089e-05
elevators,xgboost,Percentile,remove,0,4,1.3586412830620448e-05
elevators,xgboost,Percentile,remove,0,5,1.2848728852866659e-05
elevators,xgboost,Percentile,remove,0,6,1.4038659914698985e-05
elevators,xgboost,Percentile,remove,0,7,1.4425194044574262e-05
elevators,xgboost,Percentile,remove,0,8,1.2187748275637679e-05
elevators,xgboost,Percentile,remove,0,9,1.9244089384647884e-05
elevators,xgboost,Percentile,remove,1,0,1.4344826147752177e-05
elevators,xgboost,Percentile,remove,1,1,1.678815442274645e-05
elevators,xgboost,Percentile,remove,1,2,1.632341293889114e-05
elevators,xgboost,Percentile,remove,1,3,1.3426888969381338e-05
elevators,xgboost,Percentile,remove,1,4,1.5731702122889098e-05
elevators,xgboost,Percentile,remove,1,5,1.4895971106201806e-05
elevators,xgboost,Percentile,remove,1,6,1.3215899217099983e-05
elevators,xgboost,Percentile,remove,1,7,1.5060202553815695e-05
elevators,xgboost,Percentile,remove,1,8,1.318612787188699e-05
elevators,xgboost,Percentile,remove,1,9,1.2963833824725303e-05
elevators,xgboost,Percentile,remove,2,0,1.3474676200841621e-05
elevators,xgboost,Percentile,remove,2,1,1.4148541486588282e-05
elevators,xgboost,Percentile,remove,2,2,1.4258038131510768e-05
elevators,xgboost,Percentile,remove,2,3,1.5132494957725955e-05
elevators,xgboost,Percentile,remove,2,4,1.4555124685219833e-05
elevators,xgboost,Percentile,remove,2,5,1.5979335877726935e-05
elevators,xgboost,Percentile,remove,2,6,1.5470858180132323e-05
elevators,xgboost,Percentile,remove,2,7,1.1554013956082094e-05
elevators,xgboost,Percentile,remove,2,8,1.5402738906463633e-05
elevators,xgboost,Percentile,remove,2,9,1.6495939781946464e-05
