dataset,model,detector,treatment,run,fold,score
elevators,xgboost,ZScore,clip,0,0,6.294610296405016e-06
elevators,xgboost,ZScore,clip,0,1,5.537712769500793e-06
elevators,xgboost,ZScore,clip,0,2,5.655984562168976e-06
elevators,xgboost,ZScore,clip,0,3,5.912273639577921e-06
elevators,xgboost,ZScore,clip,0,4,6.5219892781258156e-06
elevators,xgboost,ZScore,clip,0,5,5.837655871536803e-06
elevators,xgboost,ZScore,clip,0,6,6.1480380070611335e-06
elevators,xgboost,ZScore,clip,0,7,6.784468781227564e-06
elevators,xgboost,ZScore,clip,0,8,6.363531695377508e-06
elevators,xgboost,ZScore,clip,0,9,6.743251685801345e-06
elevators,xgboost,ZScore,clip,1,0,6.4748882337636904e-06
elevators,xgboost,ZScore,clip,1,1,6.326030650472319e-06
elevators,xgboost,ZScore,clip,1,2,6.855181906745046e-06
elevators,xgboost,ZScore,clip,1,3,6.022763976461164e-06
elevators,xgboost,ZScore,clip,1,4,5.974351913956403e-06
elevators,xgboost,ZScore,clip,1,5,5.782383115727023e-06
elevators,xgboost,ZScore,clip,1,6,5.820693482939366e-06
elevators,xgboost,ZScore,clip,1,7,6.091828109226486e-06
elevators,xgboost,ZScore,clip,1,8,5.620735539512732e-06
elevators,xgboost,ZScore,clip,1,9,5.495348773761809e-06
elevators,xgboost,ZScore,clip,2,0,6.3832933783480906e-06
elevators,xgboost,ZScore,clip,2,1,6.570511439360268e-06
elevators,xgboost,ZScore,clip,2,2,5.121498069813855e-06
elevators,xgboost,ZScore,clip,2,3,6.341786142392936e-06
elevators,xgboost,ZScore,clip,2,4,5.93586309346731e-06
elevators,xgboost,ZScore,clip,2,5,6.588319302144202e-06
elevators,xgboost,ZScore,clip,2,6,6.236849213100721e-06
elevators,xgboost,ZScore,clip,2,7,5.733411274276042e-06
elevators,xgboost,ZScore,clip,2,8,6.209545125797827e-06
elevators,xgboost,ZScore,clip,2,9,6.472756593766004e-06
