dataset,model,detector,treatment,run,fold,score
elevators,xgboost,ZScore,remove,0,0,8.668539336201954e-06
elevators,xgboost,ZScore,remove,0,1,7.3477219980714976e-06
elevators,xgboost,ZScore,remove,0,2,6.922463120782939e-06
elevators,xgboost,ZScore,remove,0,3,7.75383900735225e-06
elevators,xgboost,ZScore,remove,0,4,7.704089383468994e-06
elevators,xgboost,ZScore,remove,0,5,6.63794974056834e-06
elevators,xgboost,ZScore,remove,0,6,6.879915424570069e-06
elevators,xgboost,ZScore,remove,0,7,9.367298719911251e-06
elevators,xgboost,ZScore,remove,0,8,7.456390362475007e-06
elevators,xgboost,ZScore,remove,0,9,9.221101049210668e-06
elevators,xgboost,ZScore,remove,1,0,8.491755029846411e-06
elevators,xgboost,ZScore,remove,1,1,8.511212287333974e-06
elevators,xgboost,ZScore,remove,1,2,9.517088597662946e-06
elevators,xgboost,ZScore,remove,1,3,6.964666053222123e-06
elevators,xgboost,ZScore,remove,1,4,7.976129328778577e-06
elevators,xgboost,ZScore,remove,1,5,8.285837281822396e-06
elevators,xgboost,ZScore,remove,1,6,7.160996424335422e-06
elevators,xgboost,ZScore,remove,1,7,7.827510408936607e-06
elevators,xgboost,ZScore,remove,1,8,6.774365593933767e-06
elevators,xgboost,ZScore,remove,1,9,7.024661476214002e-06
elevators,xgboost,ZScore,remove,2,0,7.750385699938847e-06
elevators,xgboost,ZScore,remove,2,1,8.810115061048256e-06
elevators,xgboost,ZScore,remove,2,2,6.882111622022063e-06
elevators,xgboost,ZScore,remove,2,3,8.484482183691257e-06
elevators,xgboost,ZScore,remove,2,4,8.817236087545439e-06
elevators,xgboost,ZScore,remove,2,5,7.578765255680257e-06
elevators,xgboost,ZScore,remove,2,6,7.86895127522374e-06
elevators,xgboost,ZScore,remove,2,7,6.570698083063444e-06
elevators,xgboost,ZScore,remove,2,8,8.38612907605771e-06
elevators,xgboost,ZScore,remove,2,9,8.317717199952183e-06
