dataset,model,detector,treatment,run,fold,score
eucalyptus,mlp_deep,Percentile,clip,0,0,0.5106382978723404
eucalyptus,mlp_deep,Percentile,clip,0,1,0.40425531914893614
eucalyptus,mlp_deep,Percentile,clip,0,2,0.574468085106383
eucalyptus,mlp_deep,Percentile,clip,0,3,0.46808510638297873
eucalyptus,mlp_deep,Percentile,clip,0,4,0.48936170212765956
eucalyptus,mlp_deep,Percentile,clip,0,5,0.425531914893617
eucalyptus,mlp_deep,Percentile,clip,0,6,0.425531914893617
eucalyptus,mlp_deep,Percentile,clip,0,7,0.3617021276595745
eucalyptus,mlp_deep,Percentile,clip,0,8,0.5531914893617021
eucalyptus,mlp_deep,Percentile,clip,0,9,0.44680851063829785
eucalyptus,mlp_deep,Percentile,clip,1,0,0.44680851063829785
eucalyptus,mlp_deep,Percentile,clip,1,1,0.3404255319148936
eucalyptus,mlp_deep,Percentile,clip,1,2,0.40425531914893614
eucalyptus,mlp_deep,Percentile,clip,1,3,0.3829787234042553
eucalyptus,mlp_deep,Percentile,clip,1,4,0.574468085106383
eucalyptus,mlp_deep,Percentile,clip,1,5,0.3829787234042553
eucalyptus,mlp_deep,Percentile,clip,1,6,0.5106382978723404
eucalyptus,mlp_deep,Percentile,clip,1,7,0.425531914893617
eucalyptus,mlp_deep,Percentile,clip,1,8,0.6170212765957447
eucalyptus,mlp_deep,Percentile,clip,1,9,0.40425531914893614
eucalyptus,mlp_deep,Percentile,clip,2,0,0.5319148936170213
eucalyptus,mlp_deep,Percentile,clip,2,1,0.5106382978723404
eucalyptus,mlp_deep,Percentile,clip,2,2,0.46808510638297873
eucalyptus,mlp_deep,Percentile,clip,2,3,0.2553191489361702
eucalyptus,mlp_deep,Percentile,clip,2,4,0.40425531914893614
eucalyptus,mlp_deep,Percentile,clip,2,5,0.46808510638297873
eucalyptus,mlp_deep,Percentile,clip,2,6,0.2765957446808511
eucalyptus,mlp_deep,Percentile,clip,2,7,0.5531914893617021
eucalyptus,mlp_deep,Percentile,clip,2,8,0.5319148936170213
eucalyptus,mlp_deep,Percentile,clip,2,9,0.425531914893617
