dataset,model,detector,treatment,run,fold,score
eucalyptus,randomforest,Percentile,clip,0,0,0.5106382978723404
eucalyptus,randomforest,Percentile,clip,0,1,0.44680851063829785
eucalyptus,randomforest,Percentile,clip,0,2,0.5957446808510638
eucalyptus,randomforest,Percentile,clip,0,3,0.5319148936170213
eucalyptus,randomforest,Percentile,clip,0,4,0.5957446808510638
eucalyptus,randomforest,Percentile,clip,0,5,0.6170212765957447
eucalyptus,randomforest,Percentile,clip,0,6,0.7021276595744681
eucalyptus,randomforest,Percentile,clip,0,7,0.5531914893617021
eucalyptus,randomforest,Percentile,clip,0,8,0.7021276595744681
eucalyptus,randomforest,Percentile,clip,0,9,0.5319148936170213
eucalyptus,randomforest,Percentile,clip,1,0,0.5319148936170213
eucalyptus,randomforest,Percentile,clip,1,1,0.574468085106383
eucalyptus,randomforest,Percentile,clip,1,2,0.46808510638297873
eucalyptus,randomforest,Percentile,clip,1,3,0.6382978723404256
eucalyptus,randomforest,Percentile,clip,1,4,0.6808510638297872
eucalyptus,randomforest,Percentile,clip,1,5,0.574468085106383
eucalyptus,randomforest,Percentile,clip,1,6,0.574468085106383
eucalyptus,randomforest,Percentile,clip,1,7,0.5319148936170213
eucalyptus,randomforest,Percentile,clip,1,8,0.6382978723404256
eucalyptus,randomforest,Percentile,clip,1,9,0.5531914893617021
eucalyptus,randomforest,Percentile,clip,2,0,0.6382978723404256
eucalyptus,randomforest,Percentile,clip,2,1,0.574468085106383
eucalyptus,randomforest,Percentile,clip,2,2,0.5106382978723404
eucalyptus,randomforest,Percentile,clip,2,3,0.5957446808510638
eucalyptus,randomforest,Percentile,clip,2,4,0.574468085106383
eucalyptus,randomforest,Percentile,clip,2,5,0.6595744680851063
eucalyptus,randomforest,Percentile,clip,2,6,0.5106382978723404
eucalyptus,randomforest,Percentile,clip,2,7,0.5531914893617021
eucalyptus,randomforest,Percentile,clip,2,8,0.6170212765957447
eucalyptus,randomforest,Percentile,clip,2,9,0.5106382978723404
