dataset,model,detector,treatment,run,fold,score
eye_movements,mlp,IsolationForest,remove,0,0,0.43142857142857144
eye_movements,mlp,IsolationForest,remove,0,1,0.4042857142857143
eye_movements,mlp,IsolationForest,remove,0,2,0.47
eye_movements,mlp,IsolationForest,remove,0,3,0.3871428571428571
eye_movements,mlp,IsolationForest,remove,0,4,0.45
eye_movements,mlp,IsolationForest,remove,0,5,0.44
eye_movements,mlp,IsolationForest,remove,0,6,0.44142857142857145
eye_movements,mlp,IsolationForest,remove,0,7,0.4057142857142857
eye_movements,mlp,IsolationForest,remove,0,8,0.4206008583690987
eye_movements,mlp,IsolationForest,remove,0,9,0.44635193133047213
eye_movements,mlp,IsolationForest,remove,1,0,0.45
eye_movements,mlp,IsolationForest,remove,1,1,0.42857142857142855
eye_movements,mlp,IsolationForest,remove,1,2,0.4328571428571429
eye_movements,mlp,IsolationForest,remove,1,3,0.4257142857142857
eye_movements,mlp,IsolationForest,remove,1,4,0.42142857142857143
eye_movements,mlp,IsolationForest,remove,1,5,0.4714285714285714
eye_movements,mlp,IsolationForest,remove,1,6,0.4514285714285714
eye_movements,mlp,IsolationForest,remove,1,7,0.39714285714285713
eye_movements,mlp,IsolationForest,remove,1,8,0.39341917024320455
eye_movements,mlp,IsolationForest,remove,1,9,0.41487839771101576
eye_movements,mlp,IsolationForest,remove,2,0,0.47714285714285715
eye_movements,mlp,IsolationForest,remove,2,1,0.4257142857142857
eye_movements,mlp,IsolationForest,remove,2,2,0.4185714285714286
eye_movements,mlp,IsolationForest,remove,2,3,0.43714285714285717
eye_movements,mlp,IsolationForest,remove,2,4,0.4542857142857143
eye_movements,mlp,IsolationForest,remove,2,5,0.38142857142857145
eye_movements,mlp,IsolationForest,remove,2,6,0.43714285714285717
eye_movements,mlp,IsolationForest,remove,2,7,0.4
eye_movements,mlp,IsolationForest,remove,2,8,0.46065808297567956
eye_movements,mlp,IsolationForest,remove,2,9,0.43204577968526464
