dataset,model,detector,treatment,run,fold,score
eye_movements,mlp,LOF,remove,0,0,0.41714285714285715
eye_movements,mlp,LOF,remove,0,1,0.4
eye_movements,mlp,LOF,remove,0,2,0.43857142857142856
eye_movements,mlp,LOF,remove,0,3,0.4085714285714286
eye_movements,mlp,LOF,remove,0,4,0.44
eye_movements,mlp,LOF,remove,0,5,0.4542857142857143
eye_movements,mlp,LOF,remove,0,6,0.4614285714285714
eye_movements,mlp,LOF,remove,0,7,0.42857142857142855
eye_movements,mlp,LOF,remove,0,8,0.4248927038626609
eye_movements,mlp,LOF,remove,0,9,0.40772532188841204
eye_movements,mlp,LOF,remove,1,0,0.4228571428571429
eye_movements,mlp,LOF,remove,1,1,0.42857142857142855
eye_movements,mlp,LOF,remove,1,2,0.4328571428571429
eye_movements,mlp,LOF,remove,1,3,0.38
eye_movements,mlp,LOF,remove,1,4,0.41714285714285715
eye_movements,mlp,LOF,remove,1,5,0.4785714285714286
eye_movements,mlp,LOF,remove,1,6,0.42
eye_movements,mlp,LOF,remove,1,7,0.4185714285714286
eye_movements,mlp,LOF,remove,1,8,0.39341917024320455
eye_movements,mlp,LOF,remove,1,9,0.42775393419170243
eye_movements,mlp,LOF,remove,2,0,0.44285714285714284
eye_movements,mlp,LOF,remove,2,1,0.40285714285714286
eye_movements,mlp,LOF,remove,2,2,0.4257142857142857
eye_movements,mlp,LOF,remove,2,3,0.43
eye_movements,mlp,LOF,remove,2,4,0.42714285714285716
eye_movements,mlp,LOF,remove,2,5,0.37857142857142856
eye_movements,mlp,LOF,remove,2,6,0.43
eye_movements,mlp,LOF,remove,2,7,0.4228571428571429
eye_movements,mlp,LOF,remove,2,8,0.43204577968526464
eye_movements,mlp,LOF,remove,2,9,0.45064377682403434
