dataset,model,detector,treatment,run,fold,score
eye_movements,mlp,Percentile,remove,0,0,0.40714285714285714
eye_movements,mlp,Percentile,remove,0,1,0.43714285714285717
eye_movements,mlp,Percentile,remove,0,2,0.41714285714285715
eye_movements,mlp,Percentile,remove,0,3,0.4185714285714286
eye_movements,mlp,Percentile,remove,0,4,0.4057142857142857
eye_movements,mlp,Percentile,remove,0,5,0.4085714285714286
eye_movements,mlp,Percentile,remove,0,6,0.42857142857142855
eye_movements,mlp,Percentile,remove,0,7,0.41285714285714287
eye_movements,mlp,Percentile,remove,0,8,0.40915593705293274
eye_movements,mlp,Percentile,remove,0,9,0.38197424892703863
eye_movements,mlp,Percentile,remove,1,0,0.4328571428571429
eye_movements,mlp,Percentile,remove,1,1,0.4614285714285714
eye_movements,mlp,Percentile,remove,1,2,0.40714285714285714
eye_movements,mlp,Percentile,remove,1,3,0.4185714285714286
eye_movements,mlp,Percentile,remove,1,4,0.42857142857142855
eye_movements,mlp,Percentile,remove,1,5,0.43714285714285717
eye_movements,mlp,Percentile,remove,1,6,0.43142857142857144
eye_movements,mlp,Percentile,remove,1,7,0.43857142857142856
eye_movements,mlp,Percentile,remove,1,8,0.39341917024320455
eye_movements,mlp,Percentile,remove,1,9,0.37339055793991416
eye_movements,mlp,Percentile,remove,2,0,0.4
eye_movements,mlp,Percentile,remove,2,1,0.41285714285714287
eye_movements,mlp,Percentile,remove,2,2,0.4042857142857143
eye_movements,mlp,Percentile,remove,2,3,0.41
eye_movements,mlp,Percentile,remove,2,4,0.41714285714285715
eye_movements,mlp,Percentile,remove,2,5,0.4085714285714286
eye_movements,mlp,Percentile,remove,2,6,0.40285714285714286
eye_movements,mlp,Percentile,remove,2,7,0.3985714285714286
eye_movements,mlp,Percentile,remove,2,8,0.41487839771101576
eye_movements,mlp,Percentile,remove,2,9,0.413447782546495
