dataset,model,detector,treatment,run,fold,score
eye_movements,mlp,ZScore,clip,0,0,0.4471428571428571
eye_movements,mlp,ZScore,clip,0,1,0.42714285714285716
eye_movements,mlp,ZScore,clip,0,2,0.42142857142857143
eye_movements,mlp,ZScore,clip,0,3,0.42
eye_movements,mlp,ZScore,clip,0,4,0.4328571428571429
eye_movements,mlp,ZScore,clip,0,5,0.42142857142857143
eye_movements,mlp,ZScore,clip,0,6,0.43
eye_movements,mlp,ZScore,clip,0,7,0.4257142857142857
eye_movements,mlp,ZScore,clip,0,8,0.4449213161659514
eye_movements,mlp,ZScore,clip,0,9,0.4248927038626609
eye_movements,mlp,ZScore,clip,1,0,0.43714285714285717
eye_movements,mlp,ZScore,clip,1,1,0.4057142857142857
eye_movements,mlp,ZScore,clip,1,2,0.42714285714285716
eye_movements,mlp,ZScore,clip,1,3,0.3757142857142857
eye_movements,mlp,ZScore,clip,1,4,0.4057142857142857
eye_movements,mlp,ZScore,clip,1,5,0.42428571428571427
eye_movements,mlp,ZScore,clip,1,6,0.43
eye_movements,mlp,ZScore,clip,1,7,0.4328571428571429
eye_movements,mlp,ZScore,clip,1,8,0.4005722460658083
eye_movements,mlp,ZScore,clip,1,9,0.4263233190271817
eye_movements,mlp,ZScore,clip,2,0,0.45
eye_movements,mlp,ZScore,clip,2,1,0.4142857142857143
eye_movements,mlp,ZScore,clip,2,2,0.4328571428571429
eye_movements,mlp,ZScore,clip,2,3,0.4142857142857143
eye_movements,mlp,ZScore,clip,2,4,0.45571428571428574
eye_movements,mlp,ZScore,clip,2,5,0.38142857142857145
eye_movements,mlp,ZScore,clip,2,6,0.43
eye_movements,mlp,ZScore,clip,2,7,0.4114285714285714
eye_movements,mlp,ZScore,clip,2,8,0.4334763948497854
eye_movements,mlp,ZScore,clip,2,9,0.43776824034334766
