dataset,model,detector,treatment,run,fold,score
eye_movements,mlp_deep,Autoencoder,remove,0,0,0.47285714285714286
eye_movements,mlp_deep,Autoencoder,remove,0,1,0.4514285714285714
eye_movements,mlp_deep,Autoencoder,remove,0,2,0.46714285714285714
eye_movements,mlp_deep,Autoencoder,remove,0,3,0.44857142857142857
eye_movements,mlp_deep,Autoencoder,remove,0,4,0.47714285714285715
eye_movements,mlp_deep,Autoencoder,remove,0,5,0.45285714285714285
eye_movements,mlp_deep,Autoencoder,remove,0,6,0.48428571428571426
eye_movements,mlp_deep,Autoencoder,remove,0,7,0.4585714285714286
eye_movements,mlp_deep,Autoencoder,remove,0,8,0.43204577968526464
eye_movements,mlp_deep,Autoencoder,remove,0,9,0.4978540772532189
eye_movements,mlp_deep,Autoencoder,remove,1,0,0.44571428571428573
eye_movements,mlp_deep,Autoencoder,remove,1,1,0.43857142857142856
eye_movements,mlp_deep,Autoencoder,remove,1,2,0.42857142857142855
eye_movements,mlp_deep,Autoencoder,remove,1,3,0.4642857142857143
eye_movements,mlp_deep,Autoencoder,remove,1,4,0.45571428571428574
eye_movements,mlp_deep,Autoencoder,remove,1,5,0.4614285714285714
eye_movements,mlp_deep,Autoencoder,remove,1,6,0.46
eye_movements,mlp_deep,Autoencoder,remove,1,7,0.4614285714285714
eye_movements,mlp_deep,Autoencoder,remove,1,8,0.4449213161659514
eye_movements,mlp_deep,Autoencoder,remove,1,9,0.4449213161659514
eye_movements,mlp_deep,Autoencoder,remove,2,0,0.45
eye_movements,mlp_deep,Autoencoder,remove,2,1,0.47
eye_movements,mlp_deep,Autoencoder,remove,2,2,0.4685714285714286
eye_movements,mlp_deep,Autoencoder,remove,2,3,0.45571428571428574
eye_movements,mlp_deep,Autoencoder,remove,2,4,0.4585714285714286
eye_movements,mlp_deep,Autoencoder,remove,2,5,0.4228571428571429
eye_movements,mlp_deep,Autoencoder,remove,2,6,0.4585714285714286
eye_movements,mlp_deep,Autoencoder,remove,2,7,0.45
eye_movements,mlp_deep,Autoencoder,remove,2,8,0.463519313304721
eye_movements,mlp_deep,Autoencoder,remove,2,9,0.4234620886981402
