dataset,model,detector,treatment,run,fold,score
eye_movements,mlp_deep,None,remove,0,0,0.42714285714285716
eye_movements,mlp_deep,None,remove,0,1,0.4685714285714286
eye_movements,mlp_deep,None,remove,0,2,0.4471428571428571
eye_movements,mlp_deep,None,remove,0,3,0.44857142857142857
eye_movements,mlp_deep,None,remove,0,4,0.47714285714285715
eye_movements,mlp_deep,None,remove,0,5,0.44
eye_movements,mlp_deep,None,remove,0,6,0.4442857142857143
eye_movements,mlp_deep,None,remove,0,7,0.4685714285714286
eye_movements,mlp_deep,None,remove,0,8,0.46924177396280403
eye_movements,mlp_deep,None,remove,0,9,0.47067238912732473
eye_movements,mlp_deep,None,remove,1,0,0.4828571428571429
eye_movements,mlp_deep,None,remove,1,1,0.4957142857142857
eye_movements,mlp_deep,None,remove,1,2,0.44142857142857145
eye_movements,mlp_deep,None,remove,1,3,0.4642857142857143
eye_movements,mlp_deep,None,remove,1,4,0.4785714285714286
eye_movements,mlp_deep,None,remove,1,5,0.47
eye_movements,mlp_deep,None,remove,1,6,0.48857142857142855
eye_movements,mlp_deep,None,remove,1,7,0.45714285714285713
eye_movements,mlp_deep,None,remove,1,8,0.4263233190271817
eye_movements,mlp_deep,None,remove,1,9,0.41487839771101576
eye_movements,mlp_deep,None,remove,2,0,0.47285714285714286
eye_movements,mlp_deep,None,remove,2,1,0.44142857142857145
eye_movements,mlp_deep,None,remove,2,2,0.4828571428571429
eye_movements,mlp_deep,None,remove,2,3,0.4442857142857143
eye_movements,mlp_deep,None,remove,2,4,0.4642857142857143
eye_movements,mlp_deep,None,remove,2,5,0.46
eye_movements,mlp_deep,None,remove,2,6,0.4928571428571429
eye_movements,mlp_deep,None,remove,2,7,0.48
eye_movements,mlp_deep,None,remove,2,8,0.47067238912732473
eye_movements,mlp_deep,None,remove,2,9,0.46924177396280403
