dataset,model,detector,treatment,run,fold,score
eye_movements,mlp_deep,Percentile,clip,0,0,0.43857142857142856
eye_movements,mlp_deep,Percentile,clip,0,1,0.44571428571428573
eye_movements,mlp_deep,Percentile,clip,0,2,0.4614285714285714
eye_movements,mlp_deep,Percentile,clip,0,3,0.44571428571428573
eye_movements,mlp_deep,Percentile,clip,0,4,0.4185714285714286
eye_movements,mlp_deep,Percentile,clip,0,5,0.4514285714285714
eye_movements,mlp_deep,Percentile,clip,0,6,0.4757142857142857
eye_movements,mlp_deep,Percentile,clip,0,7,0.48714285714285716
eye_movements,mlp_deep,Percentile,clip,0,8,0.47067238912732473
eye_movements,mlp_deep,Percentile,clip,0,9,0.46208869814020026
eye_movements,mlp_deep,Percentile,clip,1,0,0.49142857142857144
eye_movements,mlp_deep,Percentile,clip,1,1,0.48
eye_movements,mlp_deep,Percentile,clip,1,2,0.4342857142857143
eye_movements,mlp_deep,Percentile,clip,1,3,0.4657142857142857
eye_movements,mlp_deep,Percentile,clip,1,4,0.48
eye_movements,mlp_deep,Percentile,clip,1,5,0.4657142857142857
eye_movements,mlp_deep,Percentile,clip,1,6,0.46
eye_movements,mlp_deep,Percentile,clip,1,7,0.4342857142857143
eye_movements,mlp_deep,Percentile,clip,1,8,0.4334763948497854
eye_movements,mlp_deep,Percentile,clip,1,9,0.4206008583690987
eye_movements,mlp_deep,Percentile,clip,2,0,0.4714285714285714
eye_movements,mlp_deep,Percentile,clip,2,1,0.4471428571428571
eye_movements,mlp_deep,Percentile,clip,2,2,0.48
eye_movements,mlp_deep,Percentile,clip,2,3,0.4471428571428571
eye_movements,mlp_deep,Percentile,clip,2,4,0.46714285714285714
eye_movements,mlp_deep,Percentile,clip,2,5,0.43142857142857144
eye_movements,mlp_deep,Percentile,clip,2,6,0.49857142857142855
eye_movements,mlp_deep,Percentile,clip,2,7,0.4828571428571429
eye_movements,mlp_deep,Percentile,clip,2,8,0.46494992846924177
eye_movements,mlp_deep,Percentile,clip,2,9,0.47067238912732473
