dataset,model,detector,treatment,run,fold,score
eye_movements,mlp_deep,ZScore,remove,0,0,0.4657142857142857
eye_movements,mlp_deep,ZScore,remove,0,1,0.4471428571428571
eye_movements,mlp_deep,ZScore,remove,0,2,0.46
eye_movements,mlp_deep,ZScore,remove,0,3,0.4228571428571429
eye_movements,mlp_deep,ZScore,remove,0,4,0.47
eye_movements,mlp_deep,ZScore,remove,0,5,0.4085714285714286
eye_movements,mlp_deep,ZScore,remove,0,6,0.46285714285714286
eye_movements,mlp_deep,ZScore,remove,0,7,0.49
eye_movements,mlp_deep,ZScore,remove,0,8,0.47067238912732473
eye_movements,mlp_deep,ZScore,remove,0,9,0.45779685264663805
eye_movements,mlp_deep,ZScore,remove,1,0,0.4342857142857143
eye_movements,mlp_deep,ZScore,remove,1,1,0.4714285714285714
eye_movements,mlp_deep,ZScore,remove,1,2,0.46
eye_movements,mlp_deep,ZScore,remove,1,3,0.46714285714285714
eye_movements,mlp_deep,ZScore,remove,1,4,0.4642857142857143
eye_movements,mlp_deep,ZScore,remove,1,5,0.4757142857142857
eye_movements,mlp_deep,ZScore,remove,1,6,0.48142857142857143
eye_movements,mlp_deep,ZScore,remove,1,7,0.44142857142857145
eye_movements,mlp_deep,ZScore,remove,1,8,0.4492131616595136
eye_movements,mlp_deep,ZScore,remove,1,9,0.43490701001430615
eye_movements,mlp_deep,ZScore,remove,2,0,0.4642857142857143
eye_movements,mlp_deep,ZScore,remove,2,1,0.4828571428571429
eye_movements,mlp_deep,ZScore,remove,2,2,0.41285714285714287
eye_movements,mlp_deep,ZScore,remove,2,3,0.4714285714285714
eye_movements,mlp_deep,ZScore,remove,2,4,0.4714285714285714
eye_movements,mlp_deep,ZScore,remove,2,5,0.38571428571428573
eye_movements,mlp_deep,ZScore,remove,2,6,0.4714285714285714
eye_movements,mlp_deep,ZScore,remove,2,7,0.4514285714285714
eye_movements,mlp_deep,ZScore,remove,2,8,0.46494992846924177
eye_movements,mlp_deep,ZScore,remove,2,9,0.44635193133047213
