dataset,model,detector,treatment,run,fold,score
eye_movements,randomforest,Autoencoder,remove,0,0,0.32285714285714284
eye_movements,randomforest,Autoencoder,remove,0,1,0.35714285714285715
eye_movements,randomforest,Autoencoder,remove,0,2,0.4114285714285714
eye_movements,randomforest,Autoencoder,remove,0,3,0.34
eye_movements,randomforest,Autoencoder,remove,0,4,0.34
eye_movements,randomforest,Autoencoder,remove,0,5,0.3385714285714286
eye_movements,randomforest,Autoencoder,remove,0,6,0.3242857142857143
eye_movements,randomforest,Autoencoder,remove,0,7,0.33285714285714285
eye_movements,randomforest,Autoencoder,remove,0,8,0.33476394849785407
eye_movements,randomforest,Autoencoder,remove,0,9,0.30042918454935624
eye_movements,randomforest,Autoencoder,remove,1,0,0.32142857142857145
eye_movements,randomforest,Autoencoder,remove,1,1,0.3057142857142857
eye_movements,randomforest,Autoencoder,remove,1,2,0.41714285714285715
eye_movements,randomforest,Autoencoder,remove,1,3,0.3414285714285714
eye_movements,randomforest,Autoencoder,remove,1,4,0.35285714285714287
eye_movements,randomforest,Autoencoder,remove,1,5,0.29
eye_movements,randomforest,Autoencoder,remove,1,6,0.3357142857142857
eye_movements,randomforest,Autoencoder,remove,1,7,0.3628571428571429
eye_movements,randomforest,Autoencoder,remove,1,8,0.3104434907010014
eye_movements,randomforest,Autoencoder,remove,1,9,0.37052932761087265
eye_movements,randomforest,Autoencoder,remove,2,0,0.33714285714285713
eye_movements,randomforest,Autoencoder,remove,2,1,0.36857142857142855
eye_movements,randomforest,Autoencoder,remove,2,2,0.3385714285714286
eye_movements,randomforest,Autoencoder,remove,2,3,0.37714285714285717
eye_movements,randomforest,Autoencoder,remove,2,4,0.32857142857142857
eye_movements,randomforest,Autoencoder,remove,2,5,0.35285714285714287
eye_movements,randomforest,Autoencoder,remove,2,6,0.34714285714285714
eye_movements,randomforest,Autoencoder,remove,2,7,0.36714285714285716
eye_movements,randomforest,Autoencoder,remove,2,8,0.33905579399141633
eye_movements,randomforest,Autoencoder,remove,2,9,0.33905579399141633
