dataset,model,detector,treatment,run,fold,score
eye_movements,randomforest,LOF,remove,0,0,0.3514285714285714
eye_movements,randomforest,LOF,remove,0,1,0.3457142857142857
eye_movements,randomforest,LOF,remove,0,2,0.35
eye_movements,randomforest,LOF,remove,0,3,0.31857142857142856
eye_movements,randomforest,LOF,remove,0,4,0.34714285714285714
eye_movements,randomforest,LOF,remove,0,5,0.2985714285714286
eye_movements,randomforest,LOF,remove,0,6,0.3157142857142857
eye_movements,randomforest,LOF,remove,0,7,0.32
eye_movements,randomforest,LOF,remove,0,8,0.3333333333333333
eye_movements,randomforest,LOF,remove,0,9,0.28898426323319026
eye_movements,randomforest,LOF,remove,1,0,0.33285714285714285
eye_movements,randomforest,LOF,remove,1,1,0.27285714285714285
eye_movements,randomforest,LOF,remove,1,2,0.37285714285714283
eye_movements,randomforest,LOF,remove,1,3,0.3585714285714286
eye_movements,randomforest,LOF,remove,1,4,0.33714285714285713
eye_movements,randomforest,LOF,remove,1,5,0.31285714285714283
eye_movements,randomforest,LOF,remove,1,6,0.30714285714285716
eye_movements,randomforest,LOF,remove,1,7,0.27714285714285714
eye_movements,randomforest,LOF,remove,1,8,0.35336194563662376
eye_movements,randomforest,LOF,remove,1,9,0.3748211731044349
eye_movements,randomforest,LOF,remove,2,0,0.3171428571428571
eye_movements,randomforest,LOF,remove,2,1,0.37714285714285717
eye_movements,randomforest,LOF,remove,2,2,0.30857142857142855
eye_movements,randomforest,LOF,remove,2,3,0.33714285714285713
eye_movements,randomforest,LOF,remove,2,4,0.36857142857142855
eye_movements,randomforest,LOF,remove,2,5,0.3
eye_movements,randomforest,LOF,remove,2,6,0.32285714285714284
eye_movements,randomforest,LOF,remove,2,7,0.36428571428571427
eye_movements,randomforest,LOF,remove,2,8,0.3562231759656652
eye_movements,randomforest,LOF,remove,2,9,0.36194563662374823
