dataset,model,detector,treatment,run,fold,score
eye_movements,randomforest,None,remove,0,0,0.38285714285714284
eye_movements,randomforest,None,remove,0,1,0.3442857142857143
eye_movements,randomforest,None,remove,0,2,0.3271428571428571
eye_movements,randomforest,None,remove,0,3,0.3757142857142857
eye_movements,randomforest,None,remove,0,4,0.37285714285714283
eye_movements,randomforest,None,remove,0,5,0.3171428571428571
eye_movements,randomforest,None,remove,0,6,0.3385714285714286
eye_movements,randomforest,None,remove,0,7,0.30142857142857143
eye_movements,randomforest,None,remove,0,8,0.3562231759656652
eye_movements,randomforest,None,remove,0,9,0.3605150214592275
eye_movements,randomforest,None,remove,1,0,0.2985714285714286
eye_movements,randomforest,None,remove,1,1,0.30142857142857143
eye_movements,randomforest,None,remove,1,2,0.3842857142857143
eye_movements,randomforest,None,remove,1,3,0.3342857142857143
eye_movements,randomforest,None,remove,1,4,0.3628571428571429
eye_movements,randomforest,None,remove,1,5,0.3057142857142857
eye_movements,randomforest,None,remove,1,6,0.34714285714285714
eye_movements,randomforest,None,remove,1,7,0.2985714285714286
eye_movements,randomforest,None,remove,1,8,0.3147353361945637
eye_movements,randomforest,None,remove,1,9,0.402002861230329
eye_movements,randomforest,None,remove,2,0,0.34
eye_movements,randomforest,None,remove,2,1,0.3385714285714286
eye_movements,randomforest,None,remove,2,2,0.3514285714285714
eye_movements,randomforest,None,remove,2,3,0.37714285714285717
eye_movements,randomforest,None,remove,2,4,0.3142857142857143
eye_movements,randomforest,None,remove,2,5,0.2985714285714286
eye_movements,randomforest,None,remove,2,6,0.3242857142857143
eye_movements,randomforest,None,remove,2,7,0.33285714285714285
eye_movements,randomforest,None,remove,2,8,0.3419170243204578
eye_movements,randomforest,None,remove,2,9,0.32331902718168815
