dataset,model,detector,treatment,run,fold,score
eye_movements,randomforest,Percentile,clip,0,0,0.3442857142857143
eye_movements,randomforest,Percentile,clip,0,1,0.31857142857142856
eye_movements,randomforest,Percentile,clip,0,2,0.36857142857142855
eye_movements,randomforest,Percentile,clip,0,3,0.3457142857142857
eye_movements,randomforest,Percentile,clip,0,4,0.34285714285714286
eye_movements,randomforest,Percentile,clip,0,5,0.3242857142857143
eye_movements,randomforest,Percentile,clip,0,6,0.2957142857142857
eye_movements,randomforest,Percentile,clip,0,7,0.30428571428571427
eye_movements,randomforest,Percentile,clip,0,8,0.3376251788268956
eye_movements,randomforest,Percentile,clip,0,9,0.290414878397711
eye_movements,randomforest,Percentile,clip,1,0,0.29
eye_movements,randomforest,Percentile,clip,1,1,0.2857142857142857
eye_movements,randomforest,Percentile,clip,1,2,0.35428571428571426
eye_movements,randomforest,Percentile,clip,1,3,0.32142857142857145
eye_movements,randomforest,Percentile,clip,1,4,0.3357142857142857
eye_movements,randomforest,Percentile,clip,1,5,0.30142857142857143
eye_movements,randomforest,Percentile,clip,1,6,0.29714285714285715
eye_movements,randomforest,Percentile,clip,1,7,0.2785714285714286
eye_movements,randomforest,Percentile,clip,1,8,0.3090128755364807
eye_movements,randomforest,Percentile,clip,1,9,0.3447782546494993
eye_movements,randomforest,Percentile,clip,2,0,0.31857142857142856
eye_movements,randomforest,Percentile,clip,2,1,0.33285714285714285
eye_movements,randomforest,Percentile,clip,2,2,0.28
eye_movements,randomforest,Percentile,clip,2,3,0.31142857142857144
eye_movements,randomforest,Percentile,clip,2,4,0.3
eye_movements,randomforest,Percentile,clip,2,5,0.30428571428571427
eye_movements,randomforest,Percentile,clip,2,6,0.32857142857142857
eye_movements,randomforest,Percentile,clip,2,7,0.33714285714285713
eye_movements,randomforest,Percentile,clip,2,8,0.30758226037195996
eye_movements,randomforest,Percentile,clip,2,9,0.30185979971387694
