dataset,model,detector,treatment,run,fold,score
eye_movements,randomforest,ZScore,clip,0,0,0.37142857142857144
eye_movements,randomforest,ZScore,clip,0,1,0.3485714285714286
eye_movements,randomforest,ZScore,clip,0,2,0.33285714285714285
eye_movements,randomforest,ZScore,clip,0,3,0.3871428571428571
eye_movements,randomforest,ZScore,clip,0,4,0.37285714285714283
eye_movements,randomforest,ZScore,clip,0,5,0.32
eye_movements,randomforest,ZScore,clip,0,6,0.3271428571428571
eye_movements,randomforest,ZScore,clip,0,7,0.30142857142857143
eye_movements,randomforest,ZScore,clip,0,8,0.35050071530758226
eye_movements,randomforest,ZScore,clip,0,9,0.3490701001430615
eye_movements,randomforest,ZScore,clip,1,0,0.2914285714285714
eye_movements,randomforest,ZScore,clip,1,1,0.30714285714285716
eye_movements,randomforest,ZScore,clip,1,2,0.3985714285714286
eye_movements,randomforest,ZScore,clip,1,3,0.3342857142857143
eye_movements,randomforest,ZScore,clip,1,4,0.3585714285714286
eye_movements,randomforest,ZScore,clip,1,5,0.3057142857142857
eye_movements,randomforest,ZScore,clip,1,6,0.34
eye_movements,randomforest,ZScore,clip,1,7,0.3057142857142857
eye_movements,randomforest,ZScore,clip,1,8,0.31759656652360513
eye_movements,randomforest,ZScore,clip,1,9,0.413447782546495
eye_movements,randomforest,ZScore,clip,2,0,0.3314285714285714
eye_movements,randomforest,ZScore,clip,2,1,0.34285714285714286
eye_movements,randomforest,ZScore,clip,2,2,0.34285714285714286
eye_movements,randomforest,ZScore,clip,2,3,0.3585714285714286
eye_movements,randomforest,ZScore,clip,2,4,0.30714285714285716
eye_movements,randomforest,ZScore,clip,2,5,0.30428571428571427
eye_movements,randomforest,ZScore,clip,2,6,0.32571428571428573
eye_movements,randomforest,ZScore,clip,2,7,0.3271428571428571
eye_movements,randomforest,ZScore,clip,2,8,0.3290414878397711
eye_movements,randomforest,ZScore,clip,2,9,0.3190271816881259
