dataset,model,detector,treatment,run,fold,score
eye_movements,randomforest,ZScore,remove,0,0,0.3628571428571429
eye_movements,randomforest,ZScore,remove,0,1,0.36714285714285716
eye_movements,randomforest,ZScore,remove,0,2,0.36142857142857143
eye_movements,randomforest,ZScore,remove,0,3,0.3414285714285714
eye_movements,randomforest,ZScore,remove,0,4,0.37714285714285717
eye_movements,randomforest,ZScore,remove,0,5,0.3485714285714286
eye_movements,randomforest,ZScore,remove,0,6,0.37142857142857144
eye_movements,randomforest,ZScore,remove,0,7,0.32
eye_movements,randomforest,ZScore,remove,0,8,0.38197424892703863
eye_movements,randomforest,ZScore,remove,0,9,0.30758226037195996
eye_movements,randomforest,ZScore,remove,1,0,0.33714285714285713
eye_movements,randomforest,ZScore,remove,1,1,0.34
eye_movements,randomforest,ZScore,remove,1,2,0.4114285714285714
eye_movements,randomforest,ZScore,remove,1,3,0.37
eye_movements,randomforest,ZScore,remove,1,4,0.3871428571428571
eye_movements,randomforest,ZScore,remove,1,5,0.3314285714285714
eye_movements,randomforest,ZScore,remove,1,6,0.3242857142857143
eye_movements,randomforest,ZScore,remove,1,7,0.3271428571428571
eye_movements,randomforest,ZScore,remove,1,8,0.3376251788268956
eye_movements,randomforest,ZScore,remove,1,9,0.4034334763948498
eye_movements,randomforest,ZScore,remove,2,0,0.34714285714285714
eye_movements,randomforest,ZScore,remove,2,1,0.4057142857142857
eye_movements,randomforest,ZScore,remove,2,2,0.36428571428571427
eye_movements,randomforest,ZScore,remove,2,3,0.35
eye_movements,randomforest,ZScore,remove,2,4,0.34714285714285714
eye_movements,randomforest,ZScore,remove,2,5,0.3242857142857143
eye_movements,randomforest,ZScore,remove,2,6,0.3414285714285714
eye_movements,randomforest,ZScore,remove,2,7,0.3557142857142857
eye_movements,randomforest,ZScore,remove,2,8,0.3333333333333333
eye_movements,randomforest,ZScore,remove,2,9,0.3805436337625179
