dataset,model,detector,treatment,run,fold,score
eye_movements,xgboost,LOF,remove,0,0,0.5442857142857143
eye_movements,xgboost,LOF,remove,0,1,0.5042857142857143
eye_movements,xgboost,LOF,remove,0,2,0.49857142857142855
eye_movements,xgboost,LOF,remove,0,3,0.5128571428571429
eye_movements,xgboost,LOF,remove,0,4,0.5257142857142857
eye_movements,xgboost,LOF,remove,0,5,0.5271428571428571
eye_movements,xgboost,LOF,remove,0,6,0.5285714285714286
eye_movements,xgboost,LOF,remove,0,7,0.49142857142857144
eye_movements,xgboost,LOF,remove,0,8,0.5350500715307582
eye_movements,xgboost,LOF,remove,0,9,0.48783977110157367
eye_movements,xgboost,LOF,remove,1,0,0.5414285714285715
eye_movements,xgboost,LOF,remove,1,1,0.5285714285714286
eye_movements,xgboost,LOF,remove,1,2,0.5314285714285715
eye_movements,xgboost,LOF,remove,1,3,0.5314285714285715
eye_movements,xgboost,LOF,remove,1,4,0.5214285714285715
eye_movements,xgboost,LOF,remove,1,5,0.5414285714285715
eye_movements,xgboost,LOF,remove,1,6,0.5357142857142857
eye_movements,xgboost,LOF,remove,1,7,0.49857142857142855
eye_movements,xgboost,LOF,remove,1,8,0.5135908440629471
eye_movements,xgboost,LOF,remove,1,9,0.547925608011445
eye_movements,xgboost,LOF,remove,2,0,0.5385714285714286
eye_movements,xgboost,LOF,remove,2,1,0.5357142857142857
eye_movements,xgboost,LOF,remove,2,2,0.4714285714285714
eye_movements,xgboost,LOF,remove,2,3,0.5771428571428572
eye_movements,xgboost,LOF,remove,2,4,0.5342857142857143
eye_movements,xgboost,LOF,remove,2,5,0.5128571428571429
eye_movements,xgboost,LOF,remove,2,6,0.5242857142857142
eye_movements,xgboost,LOF,remove,2,7,0.5271428571428571
eye_movements,xgboost,LOF,remove,2,8,0.5150214592274678
eye_movements,xgboost,LOF,remove,2,9,0.5164520743919886
