dataset,model,detector,treatment,run,fold,score
eye_movements,xgboost,None,remove,0,0,0.5728571428571428
eye_movements,xgboost,None,remove,0,1,0.49142857142857144
eye_movements,xgboost,None,remove,0,2,0.5142857142857142
eye_movements,xgboost,None,remove,0,3,0.48857142857142855
eye_movements,xgboost,None,remove,0,4,0.5414285714285715
eye_movements,xgboost,None,remove,0,5,0.5257142857142857
eye_movements,xgboost,None,remove,0,6,0.5014285714285714
eye_movements,xgboost,None,remove,0,7,0.55
eye_movements,xgboost,None,remove,0,8,0.5293276108726752
eye_movements,xgboost,None,remove,0,9,0.48354792560801146
eye_movements,xgboost,None,remove,1,0,0.5585714285714286
eye_movements,xgboost,None,remove,1,1,0.5485714285714286
eye_movements,xgboost,None,remove,1,2,0.5357142857142857
eye_movements,xgboost,None,remove,1,3,0.5114285714285715
eye_movements,xgboost,None,remove,1,4,0.5471428571428572
eye_movements,xgboost,None,remove,1,5,0.5485714285714286
eye_movements,xgboost,None,remove,1,6,0.5542857142857143
eye_movements,xgboost,None,remove,1,7,0.4757142857142857
eye_movements,xgboost,None,remove,1,8,0.525035765379113
eye_movements,xgboost,None,remove,1,9,0.5393419170243204
eye_movements,xgboost,None,remove,2,0,0.54
eye_movements,xgboost,None,remove,2,1,0.5657142857142857
eye_movements,xgboost,None,remove,2,2,0.47285714285714286
eye_movements,xgboost,None,remove,2,3,0.5757142857142857
eye_movements,xgboost,None,remove,2,4,0.5242857142857142
eye_movements,xgboost,None,remove,2,5,0.4685714285714286
eye_movements,xgboost,None,remove,2,6,0.51
eye_movements,xgboost,None,remove,2,7,0.5328571428571428
eye_movements,xgboost,None,remove,2,8,0.5364806866952789
eye_movements,xgboost,None,remove,2,9,0.5321888412017167
