dataset,model,detector,treatment,run,fold,score
eye_movements,xgboost,Percentile,clip,0,0,0.5271428571428571
eye_movements,xgboost,Percentile,clip,0,1,0.53
eye_movements,xgboost,Percentile,clip,0,2,0.5114285714285715
eye_movements,xgboost,Percentile,clip,0,3,0.5128571428571429
eye_movements,xgboost,Percentile,clip,0,4,0.5085714285714286
eye_movements,xgboost,Percentile,clip,0,5,0.53
eye_movements,xgboost,Percentile,clip,0,6,0.49857142857142855
eye_movements,xgboost,Percentile,clip,0,7,0.48428571428571426
eye_movements,xgboost,Percentile,clip,0,8,0.5550786838340487
eye_movements,xgboost,Percentile,clip,0,9,0.5121602288984263
eye_movements,xgboost,Percentile,clip,1,0,0.5085714285714286
eye_movements,xgboost,Percentile,clip,1,1,0.5242857142857142
eye_movements,xgboost,Percentile,clip,1,2,0.54
eye_movements,xgboost,Percentile,clip,1,3,0.52
eye_movements,xgboost,Percentile,clip,1,4,0.49857142857142855
eye_movements,xgboost,Percentile,clip,1,5,0.55
eye_movements,xgboost,Percentile,clip,1,6,0.5271428571428571
eye_movements,xgboost,Percentile,clip,1,7,0.4942857142857143
eye_movements,xgboost,Percentile,clip,1,8,0.5336194563662375
eye_movements,xgboost,Percentile,clip,1,9,0.5221745350500715
eye_movements,xgboost,Percentile,clip,2,0,0.5357142857142857
eye_movements,xgboost,Percentile,clip,2,1,0.5614285714285714
eye_movements,xgboost,Percentile,clip,2,2,0.46285714285714286
eye_movements,xgboost,Percentile,clip,2,3,0.5485714285714286
eye_movements,xgboost,Percentile,clip,2,4,0.5485714285714286
eye_movements,xgboost,Percentile,clip,2,5,0.48428571428571426
eye_movements,xgboost,Percentile,clip,2,6,0.5085714285714286
eye_movements,xgboost,Percentile,clip,2,7,0.5242857142857142
eye_movements,xgboost,Percentile,clip,2,8,0.5221745350500715
eye_movements,xgboost,Percentile,clip,2,9,0.5150214592274678
