dataset,model,detector,treatment,run,fold,score
eye_movements,xgboost,Percentile,remove,0,0,0.4185714285714286
eye_movements,xgboost,Percentile,remove,0,1,0.47714285714285715
eye_movements,xgboost,Percentile,remove,0,2,0.45571428571428574
eye_movements,xgboost,Percentile,remove,0,3,0.4442857142857143
eye_movements,xgboost,Percentile,remove,0,4,0.4614285714285714
eye_movements,xgboost,Percentile,remove,0,5,0.46714285714285714
eye_movements,xgboost,Percentile,remove,0,6,0.46
eye_movements,xgboost,Percentile,remove,0,7,0.4542857142857143
eye_movements,xgboost,Percentile,remove,0,8,0.46924177396280403
eye_movements,xgboost,Percentile,remove,0,9,0.4663805436337625
eye_movements,xgboost,Percentile,remove,1,0,0.4614285714285714
eye_movements,xgboost,Percentile,remove,1,1,0.43714285714285717
eye_movements,xgboost,Percentile,remove,1,2,0.47
eye_movements,xgboost,Percentile,remove,1,3,0.4642857142857143
eye_movements,xgboost,Percentile,remove,1,4,0.42142857142857143
eye_movements,xgboost,Percentile,remove,1,5,0.42
eye_movements,xgboost,Percentile,remove,1,6,0.4471428571428571
eye_movements,xgboost,Percentile,remove,1,7,0.44857142857142857
eye_movements,xgboost,Percentile,remove,1,8,0.47353361945636624
eye_movements,xgboost,Percentile,remove,1,9,0.44206008583690987
eye_movements,xgboost,Percentile,remove,2,0,0.4642857142857143
eye_movements,xgboost,Percentile,remove,2,1,0.4714285714285714
eye_movements,xgboost,Percentile,remove,2,2,0.42
eye_movements,xgboost,Percentile,remove,2,3,0.42
eye_movements,xgboost,Percentile,remove,2,4,0.4785714285714286
eye_movements,xgboost,Percentile,remove,2,5,0.42
eye_movements,xgboost,Percentile,remove,2,6,0.4757142857142857
eye_movements,xgboost,Percentile,remove,2,7,0.45714285714285713
eye_movements,xgboost,Percentile,remove,2,8,0.4520743919885551
eye_movements,xgboost,Percentile,remove,2,9,0.48068669527896996
