dataset,model,detector,treatment,run,fold,score
eye_movements,xgboost,ZScore,remove,0,0,0.54
eye_movements,xgboost,ZScore,remove,0,1,0.51
eye_movements,xgboost,ZScore,remove,0,2,0.55
eye_movements,xgboost,ZScore,remove,0,3,0.5057142857142857
eye_movements,xgboost,ZScore,remove,0,4,0.5657142857142857
eye_movements,xgboost,ZScore,remove,0,5,0.55
eye_movements,xgboost,ZScore,remove,0,6,0.5128571428571429
eye_movements,xgboost,ZScore,remove,0,7,0.5328571428571428
eye_movements,xgboost,ZScore,remove,0,8,0.530758226037196
eye_movements,xgboost,ZScore,remove,0,9,0.542203147353362
eye_movements,xgboost,ZScore,remove,1,0,0.5285714285714286
eye_movements,xgboost,ZScore,remove,1,1,0.5542857142857143
eye_movements,xgboost,ZScore,remove,1,2,0.5571428571428572
eye_movements,xgboost,ZScore,remove,1,3,0.52
eye_movements,xgboost,ZScore,remove,1,4,0.52
eye_movements,xgboost,ZScore,remove,1,5,0.5671428571428572
eye_movements,xgboost,ZScore,remove,1,6,0.5442857142857143
eye_movements,xgboost,ZScore,remove,1,7,0.5428571428571428
eye_movements,xgboost,ZScore,remove,1,8,0.5708154506437768
eye_movements,xgboost,ZScore,remove,1,9,0.5550786838340487
eye_movements,xgboost,ZScore,remove,2,0,0.5614285714285714
eye_movements,xgboost,ZScore,remove,2,1,0.54
eye_movements,xgboost,ZScore,remove,2,2,0.5385714285714286
eye_movements,xgboost,ZScore,remove,2,3,0.5385714285714286
eye_movements,xgboost,ZScore,remove,2,4,0.5214285714285715
eye_movements,xgboost,ZScore,remove,2,5,0.5142857142857142
eye_movements,xgboost,ZScore,remove,2,6,0.52
eye_movements,xgboost,ZScore,remove,2,7,0.5842857142857143
eye_movements,xgboost,ZScore,remove,2,8,0.5393419170243204
eye_movements,xgboost,ZScore,remove,2,9,0.5350500715307582
