dataset,model,detector,treatment,run,fold,score
house_16H,mlp,IsolationForest,remove,0,0,0.8796296296296297
house_16H,mlp,IsolationForest,remove,0,1,0.8622685185185185
house_16H,mlp,IsolationForest,remove,0,2,0.884125144843569
house_16H,mlp,IsolationForest,remove,0,3,0.8609501738122828
house_16H,mlp,IsolationForest,remove,0,4,0.8818076477404403
house_16H,mlp,IsolationForest,remove,0,5,0.8621089223638471
house_16H,mlp,IsolationForest,remove,0,6,0.8794901506373117
house_16H,mlp,IsolationForest,remove,0,7,0.86558516801854
house_16H,mlp,IsolationForest,remove,0,8,0.8690614136732329
house_16H,mlp,IsolationForest,remove,0,9,0.8690614136732329
house_16H,mlp,IsolationForest,remove,1,0,0.8611111111111112
house_16H,mlp,IsolationForest,remove,1,1,0.8912037037037037
house_16H,mlp,IsolationForest,remove,1,2,0.8887601390498262
house_16H,mlp,IsolationForest,remove,1,3,0.8679026651216686
house_16H,mlp,IsolationForest,remove,1,4,0.8644264194669756
house_16H,mlp,IsolationForest,remove,1,5,0.8632676709154113
house_16H,mlp,IsolationForest,remove,1,6,0.8586326767091541
house_16H,mlp,IsolationForest,remove,1,7,0.8563151796060255
house_16H,mlp,IsolationForest,remove,1,8,0.8702201622247973
house_16H,mlp,IsolationForest,remove,1,9,0.8632676709154113
house_16H,mlp,IsolationForest,remove,2,0,0.8738425925925926
house_16H,mlp,IsolationForest,remove,2,1,0.8784722222222222
house_16H,mlp,IsolationForest,remove,2,2,0.8702201622247973
house_16H,mlp,IsolationForest,remove,2,3,0.8632676709154113
house_16H,mlp,IsolationForest,remove,2,4,0.8597914252607184
house_16H,mlp,IsolationForest,remove,2,5,0.8887601390498262
house_16H,mlp,IsolationForest,remove,2,6,0.8760139049826188
house_16H,mlp,IsolationForest,remove,2,7,0.8609501738122828
house_16H,mlp,IsolationForest,remove,2,8,0.8702201622247973
house_16H,mlp,IsolationForest,remove,2,9,0.8632676709154113
