dataset,model,detector,treatment,run,fold,score
house_16H,mlp,None,remove,0,0,0.8680555555555556
house_16H,mlp,None,remove,0,1,0.8738425925925926
house_16H,mlp,None,remove,0,2,0.8922363847045192
house_16H,mlp,None,remove,0,3,0.8725376593279258
house_16H,mlp,None,remove,0,4,0.8783314020857474
house_16H,mlp,None,remove,0,5,0.8736964078794901
house_16H,mlp,None,remove,0,6,0.884125144843569
house_16H,mlp,None,remove,0,7,0.8632676709154113
house_16H,mlp,None,remove,0,8,0.8760139049826188
house_16H,mlp,None,remove,0,9,0.8690614136732329
house_16H,mlp,None,remove,1,0,0.875
house_16H,mlp,None,remove,1,1,0.8912037037037037
house_16H,mlp,None,remove,1,2,0.8887601390498262
house_16H,mlp,None,remove,1,3,0.8702201622247973
house_16H,mlp,None,remove,1,4,0.8632676709154113
house_16H,mlp,None,remove,1,5,0.8632676709154113
house_16H,mlp,None,remove,1,6,0.8609501738122828
house_16H,mlp,None,remove,1,7,0.8632676709154113
house_16H,mlp,None,remove,1,8,0.8760139049826188
house_16H,mlp,None,remove,1,9,0.8690614136732329
house_16H,mlp,None,remove,2,0,0.8738425925925926
house_16H,mlp,None,remove,2,1,0.8807870370370371
house_16H,mlp,None,remove,2,2,0.880648899188876
house_16H,mlp,None,remove,2,3,0.8679026651216686
house_16H,mlp,None,remove,2,4,0.86558516801854
house_16H,mlp,None,remove,2,5,0.8864426419466975
house_16H,mlp,None,remove,2,6,0.8725376593279258
house_16H,mlp,None,remove,2,7,0.8551564310544612
house_16H,mlp,None,remove,2,8,0.8690614136732329
house_16H,mlp,None,remove,2,9,0.8609501738122828
