dataset,model,detector,treatment,run,fold,score
house_16H,mlp,Percentile,clip,0,0,0.8819444444444444
house_16H,mlp,Percentile,clip,0,1,0.8564814814814815
house_16H,mlp,Percentile,clip,0,2,0.899188876013905
house_16H,mlp,Percentile,clip,0,3,0.8679026651216686
house_16H,mlp,Percentile,clip,0,4,0.880648899188876
house_16H,mlp,Percentile,clip,0,5,0.8690614136732329
house_16H,mlp,Percentile,clip,0,6,0.8829663962920047
house_16H,mlp,Percentile,clip,0,7,0.884125144843569
house_16H,mlp,Percentile,clip,0,8,0.8667439165701043
house_16H,mlp,Percentile,clip,0,9,0.8679026651216686
house_16H,mlp,Percentile,clip,1,0,0.8668981481481481
house_16H,mlp,Percentile,clip,1,1,0.8946759259259259
house_16H,mlp,Percentile,clip,1,2,0.895712630359212
house_16H,mlp,Percentile,clip,1,3,0.8679026651216686
house_16H,mlp,Percentile,clip,1,4,0.8736964078794901
house_16H,mlp,Percentile,clip,1,5,0.8597914252607184
house_16H,mlp,Percentile,clip,1,6,0.8644264194669756
house_16H,mlp,Percentile,clip,1,7,0.8621089223638471
house_16H,mlp,Percentile,clip,1,8,0.8783314020857474
house_16H,mlp,Percentile,clip,1,9,0.8794901506373117
house_16H,mlp,Percentile,clip,2,0,0.8888888888888888
house_16H,mlp,Percentile,clip,2,1,0.8761574074074074
house_16H,mlp,Percentile,clip,2,2,0.8760139049826188
house_16H,mlp,Percentile,clip,2,3,0.8771726535341831
house_16H,mlp,Percentile,clip,2,4,0.8539976825028969
house_16H,mlp,Percentile,clip,2,5,0.895712630359212
house_16H,mlp,Percentile,clip,2,6,0.8690614136732329
house_16H,mlp,Percentile,clip,2,7,0.8574739281575898
house_16H,mlp,Percentile,clip,2,8,0.8771726535341831
house_16H,mlp,Percentile,clip,2,9,0.86558516801854
