dataset,model,detector,treatment,run,fold,score
house_16H,mlp,Percentile,remove,0,0,0.8599537037037037
house_16H,mlp,Percentile,remove,0,1,0.8599537037037037
house_16H,mlp,Percentile,remove,0,2,0.8771726535341831
house_16H,mlp,Percentile,remove,0,3,0.8493626882966396
house_16H,mlp,Percentile,remove,0,4,0.8771726535341831
house_16H,mlp,Percentile,remove,0,5,0.8331402085747392
house_16H,mlp,Percentile,remove,0,6,0.8609501738122828
house_16H,mlp,Percentile,remove,0,7,0.8516801853997682
house_16H,mlp,Percentile,remove,0,8,0.8667439165701043
house_16H,mlp,Percentile,remove,0,9,0.8435689455388181
house_16H,mlp,Percentile,remove,1,0,0.8518518518518519
house_16H,mlp,Percentile,remove,1,1,0.8888888888888888
house_16H,mlp,Percentile,remove,1,2,0.8783314020857474
house_16H,mlp,Percentile,remove,1,3,0.8551564310544612
house_16H,mlp,Percentile,remove,1,4,0.8539976825028969
house_16H,mlp,Percentile,remove,1,5,0.8574739281575898
house_16H,mlp,Percentile,remove,1,6,0.831981460023175
house_16H,mlp,Percentile,remove,1,7,0.847045191193511
house_16H,mlp,Percentile,remove,1,8,0.8586326767091541
house_16H,mlp,Percentile,remove,1,9,0.8632676709154113
house_16H,mlp,Percentile,remove,2,0,0.8587962962962963
house_16H,mlp,Percentile,remove,2,1,0.8738425925925926
house_16H,mlp,Percentile,remove,2,2,0.8736964078794901
house_16H,mlp,Percentile,remove,2,3,0.8574739281575898
house_16H,mlp,Percentile,remove,2,4,0.8482039397450754
house_16H,mlp,Percentile,remove,2,5,0.8725376593279258
house_16H,mlp,Percentile,remove,2,6,0.8516801853997682
house_16H,mlp,Percentile,remove,2,7,0.8342989571263036
house_16H,mlp,Percentile,remove,2,8,0.8667439165701043
house_16H,mlp,Percentile,remove,2,9,0.8563151796060255
