dataset,model,detector,treatment,run,fold,score
house_16H,mlp,ZScore,clip,0,0,0.875
house_16H,mlp,ZScore,clip,0,1,0.8541666666666666
house_16H,mlp,ZScore,clip,0,2,0.8945538818076477
house_16H,mlp,ZScore,clip,0,3,0.8736964078794901
house_16H,mlp,ZScore,clip,0,4,0.8910776361529548
house_16H,mlp,ZScore,clip,0,5,0.8725376593279258
house_16H,mlp,ZScore,clip,0,6,0.884125144843569
house_16H,mlp,ZScore,clip,0,7,0.8713789107763615
house_16H,mlp,ZScore,clip,0,8,0.8679026651216686
house_16H,mlp,ZScore,clip,0,9,0.8609501738122828
house_16H,mlp,ZScore,clip,1,0,0.8680555555555556
house_16H,mlp,ZScore,clip,1,1,0.8923611111111112
house_16H,mlp,ZScore,clip,1,2,0.8876013904982619
house_16H,mlp,ZScore,clip,1,3,0.8644264194669756
house_16H,mlp,ZScore,clip,1,4,0.8644264194669756
house_16H,mlp,ZScore,clip,1,5,0.8644264194669756
house_16H,mlp,ZScore,clip,1,6,0.8609501738122828
house_16H,mlp,ZScore,clip,1,7,0.8632676709154113
house_16H,mlp,ZScore,clip,1,8,0.8783314020857474
house_16H,mlp,ZScore,clip,1,9,0.8771726535341831
house_16H,mlp,ZScore,clip,2,0,0.8761574074074074
house_16H,mlp,ZScore,clip,2,1,0.8831018518518519
house_16H,mlp,ZScore,clip,2,2,0.880648899188876
house_16H,mlp,ZScore,clip,2,3,0.8702201622247973
house_16H,mlp,ZScore,clip,2,4,0.8609501738122828
house_16H,mlp,ZScore,clip,2,5,0.8945538818076477
house_16H,mlp,ZScore,clip,2,6,0.8609501738122828
house_16H,mlp,ZScore,clip,2,7,0.8609501738122828
house_16H,mlp,ZScore,clip,2,8,0.8713789107763615
house_16H,mlp,ZScore,clip,2,9,0.8621089223638471
