dataset,model,detector,treatment,run,fold,score
house_16H,mlp_deep,Autoencoder,remove,0,0,0.8738425925925926
house_16H,mlp_deep,Autoencoder,remove,0,1,0.8622685185185185
house_16H,mlp_deep,Autoencoder,remove,0,2,0.8783314020857474
house_16H,mlp_deep,Autoencoder,remove,0,3,0.8539976825028969
house_16H,mlp_deep,Autoencoder,remove,0,4,0.8690614136732329
house_16H,mlp_deep,Autoencoder,remove,0,5,0.8493626882966396
house_16H,mlp_deep,Autoencoder,remove,0,6,0.8876013904982619
house_16H,mlp_deep,Autoencoder,remove,0,7,0.8667439165701043
house_16H,mlp_deep,Autoencoder,remove,0,8,0.8829663962920047
house_16H,mlp_deep,Autoencoder,remove,0,9,0.8621089223638471
house_16H,mlp_deep,Autoencoder,remove,1,0,0.8784722222222222
house_16H,mlp_deep,Autoencoder,remove,1,1,0.8946759259259259
house_16H,mlp_deep,Autoencoder,remove,1,2,0.8876013904982619
house_16H,mlp_deep,Autoencoder,remove,1,3,0.8597914252607184
house_16H,mlp_deep,Autoencoder,remove,1,4,0.8679026651216686
house_16H,mlp_deep,Autoencoder,remove,1,5,0.86558516801854
house_16H,mlp_deep,Autoencoder,remove,1,6,0.8597914252607184
house_16H,mlp_deep,Autoencoder,remove,1,7,0.8679026651216686
house_16H,mlp_deep,Autoencoder,remove,1,8,0.8597914252607184
house_16H,mlp_deep,Autoencoder,remove,1,9,0.8690614136732329
house_16H,mlp_deep,Autoencoder,remove,2,0,0.8622685185185185
house_16H,mlp_deep,Autoencoder,remove,2,1,0.8773148148148148
house_16H,mlp_deep,Autoencoder,remove,2,2,0.8702201622247973
house_16H,mlp_deep,Autoencoder,remove,2,3,0.8725376593279258
house_16H,mlp_deep,Autoencoder,remove,2,4,0.8632676709154113
house_16H,mlp_deep,Autoencoder,remove,2,5,0.8980301274623407
house_16H,mlp_deep,Autoencoder,remove,2,6,0.86558516801854
house_16H,mlp_deep,Autoencoder,remove,2,7,0.8597914252607184
house_16H,mlp_deep,Autoencoder,remove,2,8,0.8690614136732329
house_16H,mlp_deep,Autoencoder,remove,2,9,0.8586326767091541
