dataset,model,detector,treatment,run,fold,score
house_16H,mlp_deep,None,remove,0,0,0.875
house_16H,mlp_deep,None,remove,0,1,0.8530092592592593
house_16H,mlp_deep,None,remove,0,2,0.8876013904982619
house_16H,mlp_deep,None,remove,0,3,0.8621089223638471
house_16H,mlp_deep,None,remove,0,4,0.8760139049826188
house_16H,mlp_deep,None,remove,0,5,0.8493626882966396
house_16H,mlp_deep,None,remove,0,6,0.8760139049826188
house_16H,mlp_deep,None,remove,0,7,0.8597914252607184
house_16H,mlp_deep,None,remove,0,8,0.8690614136732329
house_16H,mlp_deep,None,remove,0,9,0.8516801853997682
house_16H,mlp_deep,None,remove,1,0,0.8622685185185185
house_16H,mlp_deep,None,remove,1,1,0.8819444444444444
house_16H,mlp_deep,None,remove,1,2,0.8760139049826188
house_16H,mlp_deep,None,remove,1,3,0.8528389339513326
house_16H,mlp_deep,None,remove,1,4,0.8482039397450754
house_16H,mlp_deep,None,remove,1,5,0.8586326767091541
house_16H,mlp_deep,None,remove,1,6,0.8435689455388181
house_16H,mlp_deep,None,remove,1,7,0.8621089223638471
house_16H,mlp_deep,None,remove,1,8,0.8574739281575898
house_16H,mlp_deep,None,remove,1,9,0.8690614136732329
house_16H,mlp_deep,None,remove,2,0,0.8784722222222222
house_16H,mlp_deep,None,remove,2,1,0.8506944444444444
house_16H,mlp_deep,None,remove,2,2,0.8818076477404403
house_16H,mlp_deep,None,remove,2,3,0.8690614136732329
house_16H,mlp_deep,None,remove,2,4,0.8644264194669756
house_16H,mlp_deep,None,remove,2,5,0.8864426419466975
house_16H,mlp_deep,None,remove,2,6,0.8586326767091541
house_16H,mlp_deep,None,remove,2,7,0.8493626882966396
house_16H,mlp_deep,None,remove,2,8,0.8609501738122828
house_16H,mlp_deep,None,remove,2,9,0.86558516801854
