dataset,model,detector,treatment,run,fold,score
house_16H,mlp_deep,Percentile,remove,0,0,0.8599537037037037
house_16H,mlp_deep,Percentile,remove,0,1,0.8414351851851852
house_16H,mlp_deep,Percentile,remove,0,2,0.8783314020857474
house_16H,mlp_deep,Percentile,remove,0,3,0.8261877172653534
house_16H,mlp_deep,Percentile,remove,0,4,0.8713789107763615
house_16H,mlp_deep,Percentile,remove,0,5,0.8493626882966396
house_16H,mlp_deep,Percentile,remove,0,6,0.8783314020857474
house_16H,mlp_deep,Percentile,remove,0,7,0.8482039397450754
house_16H,mlp_deep,Percentile,remove,0,8,0.8760139049826188
house_16H,mlp_deep,Percentile,remove,0,9,0.8296639629200464
house_16H,mlp_deep,Percentile,remove,1,0,0.8379629629629629
house_16H,mlp_deep,Percentile,remove,1,1,0.8796296296296297
house_16H,mlp_deep,Percentile,remove,1,2,0.8563151796060255
house_16H,mlp_deep,Percentile,remove,1,3,0.8458864426419467
house_16H,mlp_deep,Percentile,remove,1,4,0.8574739281575898
house_16H,mlp_deep,Percentile,remove,1,5,0.847045191193511
house_16H,mlp_deep,Percentile,remove,1,6,0.8366164542294322
house_16H,mlp_deep,Percentile,remove,1,7,0.8377752027809965
house_16H,mlp_deep,Percentile,remove,1,8,0.8296639629200464
house_16H,mlp_deep,Percentile,remove,1,9,0.8458864426419467
house_16H,mlp_deep,Percentile,remove,2,0,0.8391203703703703
house_16H,mlp_deep,Percentile,remove,2,1,0.8541666666666666
house_16H,mlp_deep,Percentile,remove,2,2,0.86558516801854
house_16H,mlp_deep,Percentile,remove,2,3,0.8412514484356894
house_16H,mlp_deep,Percentile,remove,2,4,0.8482039397450754
house_16H,mlp_deep,Percentile,remove,2,5,0.8794901506373117
house_16H,mlp_deep,Percentile,remove,2,6,0.8528389339513326
house_16H,mlp_deep,Percentile,remove,2,7,0.8435689455388181
house_16H,mlp_deep,Percentile,remove,2,8,0.8516801853997682
house_16H,mlp_deep,Percentile,remove,2,9,0.8482039397450754
