dataset,model,detector,treatment,run,fold,score
house_16H,mlp_deep,ZScore,remove,0,0,0.8715277777777778
house_16H,mlp_deep,ZScore,remove,0,1,0.8506944444444444
house_16H,mlp_deep,ZScore,remove,0,2,0.8713789107763615
house_16H,mlp_deep,ZScore,remove,0,3,0.8563151796060255
house_16H,mlp_deep,ZScore,remove,0,4,0.8760139049826188
house_16H,mlp_deep,ZScore,remove,0,5,0.8563151796060255
house_16H,mlp_deep,ZScore,remove,0,6,0.8760139049826188
house_16H,mlp_deep,ZScore,remove,0,7,0.8551564310544612
house_16H,mlp_deep,ZScore,remove,0,8,0.880648899188876
house_16H,mlp_deep,ZScore,remove,0,9,0.8632676709154113
house_16H,mlp_deep,ZScore,remove,1,0,0.8865740740740741
house_16H,mlp_deep,ZScore,remove,1,1,0.8935185185185185
house_16H,mlp_deep,ZScore,remove,1,2,0.884125144843569
house_16H,mlp_deep,ZScore,remove,1,3,0.8539976825028969
house_16H,mlp_deep,ZScore,remove,1,4,0.8586326767091541
house_16H,mlp_deep,ZScore,remove,1,5,0.8621089223638471
house_16H,mlp_deep,ZScore,remove,1,6,0.8331402085747392
house_16H,mlp_deep,ZScore,remove,1,7,0.8609501738122828
house_16H,mlp_deep,ZScore,remove,1,8,0.847045191193511
house_16H,mlp_deep,ZScore,remove,1,9,0.8586326767091541
house_16H,mlp_deep,ZScore,remove,2,0,0.8680555555555556
house_16H,mlp_deep,ZScore,remove,2,1,0.8599537037037037
house_16H,mlp_deep,ZScore,remove,2,2,0.8702201622247973
house_16H,mlp_deep,ZScore,remove,2,3,0.8563151796060255
house_16H,mlp_deep,ZScore,remove,2,4,0.8667439165701043
house_16H,mlp_deep,ZScore,remove,2,5,0.8852838933951332
house_16H,mlp_deep,ZScore,remove,2,6,0.8644264194669756
house_16H,mlp_deep,ZScore,remove,2,7,0.8412514484356894
house_16H,mlp_deep,ZScore,remove,2,8,0.8354577056778679
house_16H,mlp_deep,ZScore,remove,2,9,0.8574739281575898
