dataset,model,detector,treatment,run,fold,score
house_16H,randomforest,Autoencoder,remove,0,0,0.8715277777777778
house_16H,randomforest,Autoencoder,remove,0,1,0.8877314814814815
house_16H,randomforest,Autoencoder,remove,0,2,0.8910776361529548
house_16H,randomforest,Autoencoder,remove,0,3,0.8771726535341831
house_16H,randomforest,Autoencoder,remove,0,4,0.8829663962920047
house_16H,randomforest,Autoencoder,remove,0,5,0.8783314020857474
house_16H,randomforest,Autoencoder,remove,0,6,0.8899188876013905
house_16H,randomforest,Autoencoder,remove,0,7,0.8852838933951332
house_16H,randomforest,Autoencoder,remove,0,8,0.8887601390498262
house_16H,randomforest,Autoencoder,remove,0,9,0.8725376593279258
house_16H,randomforest,Autoencoder,remove,1,0,0.8761574074074074
house_16H,randomforest,Autoencoder,remove,1,1,0.8912037037037037
house_16H,randomforest,Autoencoder,remove,1,2,0.9061413673232909
house_16H,randomforest,Autoencoder,remove,1,3,0.8794901506373117
house_16H,randomforest,Autoencoder,remove,1,4,0.8713789107763615
house_16H,randomforest,Autoencoder,remove,1,5,0.8818076477404403
house_16H,randomforest,Autoencoder,remove,1,6,0.8690614136732329
house_16H,randomforest,Autoencoder,remove,1,7,0.8864426419466975
house_16H,randomforest,Autoencoder,remove,1,8,0.8632676709154113
house_16H,randomforest,Autoencoder,remove,1,9,0.8702201622247973
house_16H,randomforest,Autoencoder,remove,2,0,0.8900462962962963
house_16H,randomforest,Autoencoder,remove,2,1,0.8668981481481481
house_16H,randomforest,Autoencoder,remove,2,2,0.895712630359212
house_16H,randomforest,Autoencoder,remove,2,3,0.8794901506373117
house_16H,randomforest,Autoencoder,remove,2,4,0.8679026651216686
house_16H,randomforest,Autoencoder,remove,2,5,0.9015063731170336
house_16H,randomforest,Autoencoder,remove,2,6,0.8702201622247973
house_16H,randomforest,Autoencoder,remove,2,7,0.8852838933951332
house_16H,randomforest,Autoencoder,remove,2,8,0.8852838933951332
house_16H,randomforest,Autoencoder,remove,2,9,0.8551564310544612
