dataset,model,detector,treatment,run,fold,score
house_16H,randomforest,IsolationForest,remove,0,0,0.8703703703703703
house_16H,randomforest,IsolationForest,remove,0,1,0.8796296296296297
house_16H,randomforest,IsolationForest,remove,0,2,0.8887601390498262
house_16H,randomforest,IsolationForest,remove,0,3,0.8736964078794901
house_16H,randomforest,IsolationForest,remove,0,4,0.8748551564310545
house_16H,randomforest,IsolationForest,remove,0,5,0.884125144843569
house_16H,randomforest,IsolationForest,remove,0,6,0.8864426419466975
house_16H,randomforest,IsolationForest,remove,0,7,0.8748551564310545
house_16H,randomforest,IsolationForest,remove,0,8,0.8760139049826188
house_16H,randomforest,IsolationForest,remove,0,9,0.8771726535341831
house_16H,randomforest,IsolationForest,remove,1,0,0.8703703703703703
house_16H,randomforest,IsolationForest,remove,1,1,0.8923611111111112
house_16H,randomforest,IsolationForest,remove,1,2,0.9073001158748552
house_16H,randomforest,IsolationForest,remove,1,3,0.8748551564310545
house_16H,randomforest,IsolationForest,remove,1,4,0.86558516801854
house_16H,randomforest,IsolationForest,remove,1,5,0.8771726535341831
house_16H,randomforest,IsolationForest,remove,1,6,0.8713789107763615
house_16H,randomforest,IsolationForest,remove,1,7,0.8864426419466975
house_16H,randomforest,IsolationForest,remove,1,8,0.8621089223638471
house_16H,randomforest,IsolationForest,remove,1,9,0.8748551564310545
house_16H,randomforest,IsolationForest,remove,2,0,0.8842592592592593
house_16H,randomforest,IsolationForest,remove,2,1,0.8715277777777778
house_16H,randomforest,IsolationForest,remove,2,2,0.895712630359212
house_16H,randomforest,IsolationForest,remove,2,3,0.8864426419466975
house_16H,randomforest,IsolationForest,remove,2,4,0.8818076477404403
house_16H,randomforest,IsolationForest,remove,2,5,0.8980301274623407
house_16H,randomforest,IsolationForest,remove,2,6,0.8690614136732329
house_16H,randomforest,IsolationForest,remove,2,7,0.8829663962920047
house_16H,randomforest,IsolationForest,remove,2,8,0.880648899188876
house_16H,randomforest,IsolationForest,remove,2,9,0.8539976825028969
