dataset,model,detector,treatment,run,fold,score
house_16H,randomforest,Percentile,clip,0,0,0.875
house_16H,randomforest,Percentile,clip,0,1,0.8796296296296297
house_16H,randomforest,Percentile,clip,0,2,0.8910776361529548
house_16H,randomforest,Percentile,clip,0,3,0.8794901506373117
house_16H,randomforest,Percentile,clip,0,4,0.8736964078794901
house_16H,randomforest,Percentile,clip,0,5,0.8725376593279258
house_16H,randomforest,Percentile,clip,0,6,0.8899188876013905
house_16H,randomforest,Percentile,clip,0,7,0.8829663962920047
house_16H,randomforest,Percentile,clip,0,8,0.8748551564310545
house_16H,randomforest,Percentile,clip,0,9,0.8852838933951332
house_16H,randomforest,Percentile,clip,1,0,0.8726851851851852
house_16H,randomforest,Percentile,clip,1,1,0.8935185185185185
house_16H,randomforest,Percentile,clip,1,2,0.9038238702201622
house_16H,randomforest,Percentile,clip,1,3,0.8748551564310545
house_16H,randomforest,Percentile,clip,1,4,0.8621089223638471
house_16H,randomforest,Percentile,clip,1,5,0.8771726535341831
house_16H,randomforest,Percentile,clip,1,6,0.8713789107763615
house_16H,randomforest,Percentile,clip,1,7,0.884125144843569
house_16H,randomforest,Percentile,clip,1,8,0.86558516801854
house_16H,randomforest,Percentile,clip,1,9,0.8725376593279258
house_16H,randomforest,Percentile,clip,2,0,0.8807870370370371
house_16H,randomforest,Percentile,clip,2,1,0.8738425925925926
house_16H,randomforest,Percentile,clip,2,2,0.8968713789107764
house_16H,randomforest,Percentile,clip,2,3,0.8748551564310545
house_16H,randomforest,Percentile,clip,2,4,0.8760139049826188
house_16H,randomforest,Percentile,clip,2,5,0.8933951332560834
house_16H,randomforest,Percentile,clip,2,6,0.8644264194669756
house_16H,randomforest,Percentile,clip,2,7,0.8794901506373117
house_16H,randomforest,Percentile,clip,2,8,0.8783314020857474
house_16H,randomforest,Percentile,clip,2,9,0.8597914252607184
