dataset,model,detector,treatment,run,fold,score
house_16H,randomforest,ZScore,clip,0,0,0.8668981481481481
house_16H,randomforest,ZScore,clip,0,1,0.8796296296296297
house_16H,randomforest,ZScore,clip,0,2,0.8945538818076477
house_16H,randomforest,ZScore,clip,0,3,0.8794901506373117
house_16H,randomforest,ZScore,clip,0,4,0.8771726535341831
house_16H,randomforest,ZScore,clip,0,5,0.8794901506373117
house_16H,randomforest,ZScore,clip,0,6,0.8876013904982619
house_16H,randomforest,ZScore,clip,0,7,0.8794901506373117
house_16H,randomforest,ZScore,clip,0,8,0.8760139049826188
house_16H,randomforest,ZScore,clip,0,9,0.8794901506373117
house_16H,randomforest,ZScore,clip,1,0,0.8692129629629629
house_16H,randomforest,ZScore,clip,1,1,0.9004629629629629
house_16H,randomforest,ZScore,clip,1,2,0.9061413673232909
house_16H,randomforest,ZScore,clip,1,3,0.8667439165701043
house_16H,randomforest,ZScore,clip,1,4,0.8644264194669756
house_16H,randomforest,ZScore,clip,1,5,0.880648899188876
house_16H,randomforest,ZScore,clip,1,6,0.8771726535341831
house_16H,randomforest,ZScore,clip,1,7,0.880648899188876
house_16H,randomforest,ZScore,clip,1,8,0.8609501738122828
house_16H,randomforest,ZScore,clip,1,9,0.8679026651216686
house_16H,randomforest,ZScore,clip,2,0,0.8807870370370371
house_16H,randomforest,ZScore,clip,2,1,0.8738425925925926
house_16H,randomforest,ZScore,clip,2,2,0.8933951332560834
house_16H,randomforest,ZScore,clip,2,3,0.8760139049826188
house_16H,randomforest,ZScore,clip,2,4,0.8725376593279258
house_16H,randomforest,ZScore,clip,2,5,0.895712630359212
house_16H,randomforest,ZScore,clip,2,6,0.8748551564310545
house_16H,randomforest,ZScore,clip,2,7,0.8876013904982619
house_16H,randomforest,ZScore,clip,2,8,0.8783314020857474
house_16H,randomforest,ZScore,clip,2,9,0.8528389339513326
