dataset,model,detector,treatment,run,fold,score
house_16H,randomforest,ZScore,remove,0,0,0.875
house_16H,randomforest,ZScore,remove,0,1,0.8692129629629629
house_16H,randomforest,ZScore,remove,0,2,0.8876013904982619
house_16H,randomforest,ZScore,remove,0,3,0.8621089223638471
house_16H,randomforest,ZScore,remove,0,4,0.8702201622247973
house_16H,randomforest,ZScore,remove,0,5,0.8713789107763615
house_16H,randomforest,ZScore,remove,0,6,0.8829663962920047
house_16H,randomforest,ZScore,remove,0,7,0.8713789107763615
house_16H,randomforest,ZScore,remove,0,8,0.8748551564310545
house_16H,randomforest,ZScore,remove,0,9,0.8713789107763615
house_16H,randomforest,ZScore,remove,1,0,0.8692129629629629
house_16H,randomforest,ZScore,remove,1,1,0.8819444444444444
house_16H,randomforest,ZScore,remove,1,2,0.9084588644264194
house_16H,randomforest,ZScore,remove,1,3,0.8736964078794901
house_16H,randomforest,ZScore,remove,1,4,0.8505214368482039
house_16H,randomforest,ZScore,remove,1,5,0.8702201622247973
house_16H,randomforest,ZScore,remove,1,6,0.8702201622247973
house_16H,randomforest,ZScore,remove,1,7,0.880648899188876
house_16H,randomforest,ZScore,remove,1,8,0.8667439165701043
house_16H,randomforest,ZScore,remove,1,9,0.8597914252607184
house_16H,randomforest,ZScore,remove,2,0,0.8738425925925926
house_16H,randomforest,ZScore,remove,2,1,0.8668981481481481
house_16H,randomforest,ZScore,remove,2,2,0.8899188876013905
house_16H,randomforest,ZScore,remove,2,3,0.8702201622247973
house_16H,randomforest,ZScore,remove,2,4,0.8690614136732329
house_16H,randomforest,ZScore,remove,2,5,0.895712630359212
house_16H,randomforest,ZScore,remove,2,6,0.8690614136732329
house_16H,randomforest,ZScore,remove,2,7,0.8748551564310545
house_16H,randomforest,ZScore,remove,2,8,0.880648899188876
house_16H,randomforest,ZScore,remove,2,9,0.8435689455388181
