dataset,model,detector,treatment,run,fold,score
house_16H,xgboost,Percentile,clip,0,0,0.8796296296296297
house_16H,xgboost,Percentile,clip,0,1,0.8692129629629629
house_16H,xgboost,Percentile,clip,0,2,0.9073001158748552
house_16H,xgboost,Percentile,clip,0,3,0.8679026651216686
house_16H,xgboost,Percentile,clip,0,4,0.8794901506373117
house_16H,xgboost,Percentile,clip,0,5,0.8783314020857474
house_16H,xgboost,Percentile,clip,0,6,0.8829663962920047
house_16H,xgboost,Percentile,clip,0,7,0.8852838933951332
house_16H,xgboost,Percentile,clip,0,8,0.8864426419466975
house_16H,xgboost,Percentile,clip,0,9,0.880648899188876
house_16H,xgboost,Percentile,clip,1,0,0.875
house_16H,xgboost,Percentile,clip,1,1,0.9027777777777778
house_16H,xgboost,Percentile,clip,1,2,0.8922363847045192
house_16H,xgboost,Percentile,clip,1,3,0.8760139049826188
house_16H,xgboost,Percentile,clip,1,4,0.86558516801854
house_16H,xgboost,Percentile,clip,1,5,0.880648899188876
house_16H,xgboost,Percentile,clip,1,6,0.8736964078794901
house_16H,xgboost,Percentile,clip,1,7,0.8818076477404403
house_16H,xgboost,Percentile,clip,1,8,0.880648899188876
house_16H,xgboost,Percentile,clip,1,9,0.8679026651216686
house_16H,xgboost,Percentile,clip,2,0,0.8865740740740741
house_16H,xgboost,Percentile,clip,2,1,0.8888888888888888
house_16H,xgboost,Percentile,clip,2,2,0.8876013904982619
house_16H,xgboost,Percentile,clip,2,3,0.880648899188876
house_16H,xgboost,Percentile,clip,2,4,0.8725376593279258
house_16H,xgboost,Percentile,clip,2,5,0.899188876013905
house_16H,xgboost,Percentile,clip,2,6,0.8725376593279258
house_16H,xgboost,Percentile,clip,2,7,0.880648899188876
house_16H,xgboost,Percentile,clip,2,8,0.8632676709154113
house_16H,xgboost,Percentile,clip,2,9,0.8632676709154113
