dataset,model,detector,treatment,run,fold,score
house_16H,xgboost,Percentile,remove,0,0,0.8506944444444444
house_16H,xgboost,Percentile,remove,0,1,0.8680555555555556
house_16H,xgboost,Percentile,remove,0,2,0.8829663962920047
house_16H,xgboost,Percentile,remove,0,3,0.8771726535341831
house_16H,xgboost,Percentile,remove,0,4,0.8551564310544612
house_16H,xgboost,Percentile,remove,0,5,0.8621089223638471
house_16H,xgboost,Percentile,remove,0,6,0.8829663962920047
house_16H,xgboost,Percentile,remove,0,7,0.8794901506373117
house_16H,xgboost,Percentile,remove,0,8,0.86558516801854
house_16H,xgboost,Percentile,remove,0,9,0.8736964078794901
house_16H,xgboost,Percentile,remove,1,0,0.8634259259259259
house_16H,xgboost,Percentile,remove,1,1,0.8807870370370371
house_16H,xgboost,Percentile,remove,1,2,0.8852838933951332
house_16H,xgboost,Percentile,remove,1,3,0.8632676709154113
house_16H,xgboost,Percentile,remove,1,4,0.8597914252607184
house_16H,xgboost,Percentile,remove,1,5,0.8702201622247973
house_16H,xgboost,Percentile,remove,1,6,0.8493626882966396
house_16H,xgboost,Percentile,remove,1,7,0.8783314020857474
house_16H,xgboost,Percentile,remove,1,8,0.8563151796060255
house_16H,xgboost,Percentile,remove,1,9,0.8586326767091541
house_16H,xgboost,Percentile,remove,2,0,0.8587962962962963
house_16H,xgboost,Percentile,remove,2,1,0.875
house_16H,xgboost,Percentile,remove,2,2,0.8852838933951332
house_16H,xgboost,Percentile,remove,2,3,0.8644264194669756
house_16H,xgboost,Percentile,remove,2,4,0.8702201622247973
house_16H,xgboost,Percentile,remove,2,5,0.8818076477404403
house_16H,xgboost,Percentile,remove,2,6,0.8667439165701043
house_16H,xgboost,Percentile,remove,2,7,0.8667439165701043
house_16H,xgboost,Percentile,remove,2,8,0.8702201622247973
house_16H,xgboost,Percentile,remove,2,9,0.8458864426419467
