dataset,model,detector,treatment,run,fold,score
house_16H,xgboost,ZScore,clip,0,0,0.8819444444444444
house_16H,xgboost,ZScore,clip,0,1,0.8726851851851852
house_16H,xgboost,ZScore,clip,0,2,0.9049826187717266
house_16H,xgboost,ZScore,clip,0,3,0.8760139049826188
house_16H,xgboost,ZScore,clip,0,4,0.8783314020857474
house_16H,xgboost,ZScore,clip,0,5,0.8725376593279258
house_16H,xgboost,ZScore,clip,0,6,0.899188876013905
house_16H,xgboost,ZScore,clip,0,7,0.8864426419466975
house_16H,xgboost,ZScore,clip,0,8,0.8818076477404403
house_16H,xgboost,ZScore,clip,0,9,0.8771726535341831
house_16H,xgboost,ZScore,clip,1,0,0.8854166666666666
house_16H,xgboost,ZScore,clip,1,1,0.9074074074074074
house_16H,xgboost,ZScore,clip,1,2,0.9049826187717266
house_16H,xgboost,ZScore,clip,1,3,0.8794901506373117
house_16H,xgboost,ZScore,clip,1,4,0.8679026651216686
house_16H,xgboost,ZScore,clip,1,5,0.8829663962920047
house_16H,xgboost,ZScore,clip,1,6,0.8679026651216686
house_16H,xgboost,ZScore,clip,1,7,0.8876013904982619
house_16H,xgboost,ZScore,clip,1,8,0.86558516801854
house_16H,xgboost,ZScore,clip,1,9,0.8725376593279258
house_16H,xgboost,ZScore,clip,2,0,0.8877314814814815
house_16H,xgboost,ZScore,clip,2,1,0.8865740740740741
house_16H,xgboost,ZScore,clip,2,2,0.9003476245654692
house_16H,xgboost,ZScore,clip,2,3,0.880648899188876
house_16H,xgboost,ZScore,clip,2,4,0.8713789107763615
house_16H,xgboost,ZScore,clip,2,5,0.899188876013905
house_16H,xgboost,ZScore,clip,2,6,0.8771726535341831
house_16H,xgboost,ZScore,clip,2,7,0.8736964078794901
house_16H,xgboost,ZScore,clip,2,8,0.8864426419466975
house_16H,xgboost,ZScore,clip,2,9,0.8725376593279258
