dataset,model,detector,treatment,run,fold,score
house_16H,xgboost,ZScore,remove,0,0,0.8773148148148148
house_16H,xgboost,ZScore,remove,0,1,0.8703703703703703
house_16H,xgboost,ZScore,remove,0,2,0.8980301274623407
house_16H,xgboost,ZScore,remove,0,3,0.8794901506373117
house_16H,xgboost,ZScore,remove,0,4,0.8713789107763615
house_16H,xgboost,ZScore,remove,0,5,0.8783314020857474
house_16H,xgboost,ZScore,remove,0,6,0.8922363847045192
house_16H,xgboost,ZScore,remove,0,7,0.8876013904982619
house_16H,xgboost,ZScore,remove,0,8,0.8725376593279258
house_16H,xgboost,ZScore,remove,0,9,0.8748551564310545
house_16H,xgboost,ZScore,remove,1,0,0.8819444444444444
house_16H,xgboost,ZScore,remove,1,1,0.9120370370370371
house_16H,xgboost,ZScore,remove,1,2,0.8922363847045192
house_16H,xgboost,ZScore,remove,1,3,0.8725376593279258
house_16H,xgboost,ZScore,remove,1,4,0.8713789107763615
house_16H,xgboost,ZScore,remove,1,5,0.8736964078794901
house_16H,xgboost,ZScore,remove,1,6,0.8690614136732329
house_16H,xgboost,ZScore,remove,1,7,0.880648899188876
house_16H,xgboost,ZScore,remove,1,8,0.8748551564310545
house_16H,xgboost,ZScore,remove,1,9,0.8679026651216686
house_16H,xgboost,ZScore,remove,2,0,0.8715277777777778
house_16H,xgboost,ZScore,remove,2,1,0.8842592592592593
house_16H,xgboost,ZScore,remove,2,2,0.8876013904982619
house_16H,xgboost,ZScore,remove,2,3,0.8818076477404403
house_16H,xgboost,ZScore,remove,2,4,0.8632676709154113
house_16H,xgboost,ZScore,remove,2,5,0.8910776361529548
house_16H,xgboost,ZScore,remove,2,6,0.8852838933951332
house_16H,xgboost,ZScore,remove,2,7,0.8771726535341831
house_16H,xgboost,ZScore,remove,2,8,0.8794901506373117
house_16H,xgboost,ZScore,remove,2,9,0.8760139049826188
