dataset,model,detector,treatment,run,fold,score
kc1,mlp,Percentile,clip,0,0,0.837037037037037
kc1,mlp,Percentile,clip,0,1,0.8518518518518519
kc1,mlp,Percentile,clip,0,2,0.9037037037037037
kc1,mlp,Percentile,clip,0,3,0.8518518518518519
kc1,mlp,Percentile,clip,0,4,0.8296296296296296
kc1,mlp,Percentile,clip,0,5,0.837037037037037
kc1,mlp,Percentile,clip,0,6,0.9037037037037037
kc1,mlp,Percentile,clip,0,7,0.8444444444444444
kc1,mlp,Percentile,clip,0,8,0.8444444444444444
kc1,mlp,Percentile,clip,0,9,0.8208955223880597
kc1,mlp,Percentile,clip,1,0,0.7851851851851852
kc1,mlp,Percentile,clip,1,1,0.8666666666666667
kc1,mlp,Percentile,clip,1,2,0.8666666666666667
kc1,mlp,Percentile,clip,1,3,0.8814814814814815
kc1,mlp,Percentile,clip,1,4,0.8444444444444444
kc1,mlp,Percentile,clip,1,5,0.837037037037037
kc1,mlp,Percentile,clip,1,6,0.8518518518518519
kc1,mlp,Percentile,clip,1,7,0.8444444444444444
kc1,mlp,Percentile,clip,1,8,0.8814814814814815
kc1,mlp,Percentile,clip,1,9,0.8208955223880597
kc1,mlp,Percentile,clip,2,0,0.8888888888888888
kc1,mlp,Percentile,clip,2,1,0.8074074074074075
kc1,mlp,Percentile,clip,2,2,0.8888888888888888
kc1,mlp,Percentile,clip,2,3,0.8518518518518519
kc1,mlp,Percentile,clip,2,4,0.8666666666666667
kc1,mlp,Percentile,clip,2,5,0.8814814814814815
kc1,mlp,Percentile,clip,2,6,0.7851851851851852
kc1,mlp,Percentile,clip,2,7,0.8592592592592593
kc1,mlp,Percentile,clip,2,8,0.8296296296296296
kc1,mlp,Percentile,clip,2,9,0.835820895522388
