dataset,model,detector,treatment,run,fold,score
kc1,xgboost,Percentile,remove,0,0,0.8296296296296296
kc1,xgboost,Percentile,remove,0,1,0.8074074074074075
kc1,xgboost,Percentile,remove,0,2,0.8592592592592593
kc1,xgboost,Percentile,remove,0,3,0.837037037037037
kc1,xgboost,Percentile,remove,0,4,0.8074074074074075
kc1,xgboost,Percentile,remove,0,5,0.8222222222222222
kc1,xgboost,Percentile,remove,0,6,0.8518518518518519
kc1,xgboost,Percentile,remove,0,7,0.8074074074074075
kc1,xgboost,Percentile,remove,0,8,0.837037037037037
kc1,xgboost,Percentile,remove,0,9,0.7985074626865671
kc1,xgboost,Percentile,remove,1,0,0.762962962962963
kc1,xgboost,Percentile,remove,1,1,0.8444444444444444
kc1,xgboost,Percentile,remove,1,2,0.8148148148148148
kc1,xgboost,Percentile,remove,1,3,0.8222222222222222
kc1,xgboost,Percentile,remove,1,4,0.8222222222222222
kc1,xgboost,Percentile,remove,1,5,0.8
kc1,xgboost,Percentile,remove,1,6,0.8518518518518519
kc1,xgboost,Percentile,remove,1,7,0.7777777777777778
kc1,xgboost,Percentile,remove,1,8,0.8814814814814815
kc1,xgboost,Percentile,remove,1,9,0.8507462686567164
kc1,xgboost,Percentile,remove,2,0,0.8444444444444444
kc1,xgboost,Percentile,remove,2,1,0.8074074074074075
kc1,xgboost,Percentile,remove,2,2,0.8222222222222222
kc1,xgboost,Percentile,remove,2,3,0.8
kc1,xgboost,Percentile,remove,2,4,0.8814814814814815
kc1,xgboost,Percentile,remove,2,5,0.8666666666666667
kc1,xgboost,Percentile,remove,2,6,0.7851851851851852
kc1,xgboost,Percentile,remove,2,7,0.8222222222222222
kc1,xgboost,Percentile,remove,2,8,0.8222222222222222
kc1,xgboost,Percentile,remove,2,9,0.7910447761194029
