dataset,model,detector,treatment,run,fold,score
phoneme,mlp,IsolationForest,remove,0,0,0.8670520231213873
phoneme,mlp,IsolationForest,remove,0,1,0.869942196531792
phoneme,mlp,IsolationForest,remove,0,2,0.861271676300578
phoneme,mlp,IsolationForest,remove,0,3,0.8554913294797688
phoneme,mlp,IsolationForest,remove,0,4,0.8641618497109826
phoneme,mlp,IsolationForest,remove,0,5,0.8670520231213873
phoneme,mlp,IsolationForest,remove,0,6,0.8526011560693642
phoneme,mlp,IsolationForest,remove,0,7,0.838150289017341
phoneme,mlp,IsolationForest,remove,0,8,0.8492753623188406
phoneme,mlp,IsolationForest,remove,0,9,0.8434782608695652
phoneme,mlp,IsolationForest,remove,1,0,0.846820809248555
phoneme,mlp,IsolationForest,remove,1,1,0.8815028901734104
phoneme,mlp,IsolationForest,remove,1,2,0.869942196531792
phoneme,mlp,IsolationForest,remove,1,3,0.846820809248555
phoneme,mlp,IsolationForest,remove,1,4,0.8583815028901735
phoneme,mlp,IsolationForest,remove,1,5,0.8554913294797688
phoneme,mlp,IsolationForest,remove,1,6,0.8439306358381503
phoneme,mlp,IsolationForest,remove,1,7,0.8641618497109826
phoneme,mlp,IsolationForest,remove,1,8,0.8753623188405797
phoneme,mlp,IsolationForest,remove,1,9,0.881159420289855
phoneme,mlp,IsolationForest,remove,2,0,0.861271676300578
phoneme,mlp,IsolationForest,remove,2,1,0.8757225433526011
phoneme,mlp,IsolationForest,remove,2,2,0.8439306358381503
phoneme,mlp,IsolationForest,remove,2,3,0.8323699421965318
phoneme,mlp,IsolationForest,remove,2,4,0.8670520231213873
phoneme,mlp,IsolationForest,remove,2,5,0.8497109826589595
phoneme,mlp,IsolationForest,remove,2,6,0.8757225433526011
phoneme,mlp,IsolationForest,remove,2,7,0.8728323699421965
phoneme,mlp,IsolationForest,remove,2,8,0.8521739130434782
phoneme,mlp,IsolationForest,remove,2,9,0.8608695652173913
