dataset,model,detector,treatment,run,fold,score
phoneme,mlp,LOF,remove,0,0,0.8670520231213873
phoneme,mlp,LOF,remove,0,1,0.861271676300578
phoneme,mlp,LOF,remove,0,2,0.8670520231213873
phoneme,mlp,LOF,remove,0,3,0.8670520231213873
phoneme,mlp,LOF,remove,0,4,0.8526011560693642
phoneme,mlp,LOF,remove,0,5,0.846820809248555
phoneme,mlp,LOF,remove,0,6,0.8526011560693642
phoneme,mlp,LOF,remove,0,7,0.8526011560693642
phoneme,mlp,LOF,remove,0,8,0.8463768115942029
phoneme,mlp,LOF,remove,0,9,0.8405797101449275
phoneme,mlp,LOF,remove,1,0,0.846820809248555
phoneme,mlp,LOF,remove,1,1,0.8728323699421965
phoneme,mlp,LOF,remove,1,2,0.861271676300578
phoneme,mlp,LOF,remove,1,3,0.8410404624277457
phoneme,mlp,LOF,remove,1,4,0.8526011560693642
phoneme,mlp,LOF,remove,1,5,0.8526011560693642
phoneme,mlp,LOF,remove,1,6,0.8352601156069365
phoneme,mlp,LOF,remove,1,7,0.8641618497109826
phoneme,mlp,LOF,remove,1,8,0.8434782608695652
phoneme,mlp,LOF,remove,1,9,0.881159420289855
phoneme,mlp,LOF,remove,2,0,0.869942196531792
phoneme,mlp,LOF,remove,2,1,0.8815028901734104
phoneme,mlp,LOF,remove,2,2,0.8439306358381503
phoneme,mlp,LOF,remove,2,3,0.8294797687861272
phoneme,mlp,LOF,remove,2,4,0.8641618497109826
phoneme,mlp,LOF,remove,2,5,0.861271676300578
phoneme,mlp,LOF,remove,2,6,0.8728323699421965
phoneme,mlp,LOF,remove,2,7,0.8815028901734104
phoneme,mlp,LOF,remove,2,8,0.8376811594202899
phoneme,mlp,LOF,remove,2,9,0.8521739130434782
