dataset,model,detector,treatment,run,fold,score
phoneme,mlp,ZScore,remove,0,0,0.8670520231213873
phoneme,mlp,ZScore,remove,0,1,0.861271676300578
phoneme,mlp,ZScore,remove,0,2,0.8526011560693642
phoneme,mlp,ZScore,remove,0,3,0.8583815028901735
phoneme,mlp,ZScore,remove,0,4,0.8410404624277457
phoneme,mlp,ZScore,remove,0,5,0.8554913294797688
phoneme,mlp,ZScore,remove,0,6,0.8526011560693642
phoneme,mlp,ZScore,remove,0,7,0.8497109826589595
phoneme,mlp,ZScore,remove,0,8,0.8463768115942029
phoneme,mlp,ZScore,remove,0,9,0.8260869565217391
phoneme,mlp,ZScore,remove,1,0,0.8410404624277457
phoneme,mlp,ZScore,remove,1,1,0.8670520231213873
phoneme,mlp,ZScore,remove,1,2,0.861271676300578
phoneme,mlp,ZScore,remove,1,3,0.8497109826589595
phoneme,mlp,ZScore,remove,1,4,0.8497109826589595
phoneme,mlp,ZScore,remove,1,5,0.8554913294797688
phoneme,mlp,ZScore,remove,1,6,0.838150289017341
phoneme,mlp,ZScore,remove,1,7,0.8526011560693642
phoneme,mlp,ZScore,remove,1,8,0.8521739130434782
phoneme,mlp,ZScore,remove,1,9,0.8782608695652174
phoneme,mlp,ZScore,remove,2,0,0.869942196531792
phoneme,mlp,ZScore,remove,2,1,0.8670520231213873
phoneme,mlp,ZScore,remove,2,2,0.8497109826589595
phoneme,mlp,ZScore,remove,2,3,0.8323699421965318
phoneme,mlp,ZScore,remove,2,4,0.861271676300578
phoneme,mlp,ZScore,remove,2,5,0.8583815028901735
phoneme,mlp,ZScore,remove,2,6,0.869942196531792
phoneme,mlp,ZScore,remove,2,7,0.861271676300578
phoneme,mlp,ZScore,remove,2,8,0.8434782608695652
phoneme,mlp,ZScore,remove,2,9,0.855072463768116
