dataset,model,detector,treatment,run,fold,score
phoneme,mlp_deep,Autoencoder,remove,0,0,0.8583815028901735
phoneme,mlp_deep,Autoencoder,remove,0,1,0.8757225433526011
phoneme,mlp_deep,Autoencoder,remove,0,2,0.8323699421965318
phoneme,mlp_deep,Autoencoder,remove,0,3,0.8641618497109826
phoneme,mlp_deep,Autoencoder,remove,0,4,0.861271676300578
phoneme,mlp_deep,Autoencoder,remove,0,5,0.8786127167630058
phoneme,mlp_deep,Autoencoder,remove,0,6,0.8641618497109826
phoneme,mlp_deep,Autoencoder,remove,0,7,0.8583815028901735
phoneme,mlp_deep,Autoencoder,remove,0,8,0.8579710144927536
phoneme,mlp_deep,Autoencoder,remove,0,9,0.8579710144927536
phoneme,mlp_deep,Autoencoder,remove,1,0,0.8294797687861272
phoneme,mlp_deep,Autoencoder,remove,1,1,0.8554913294797688
phoneme,mlp_deep,Autoencoder,remove,1,2,0.8670520231213873
phoneme,mlp_deep,Autoencoder,remove,1,3,0.8641618497109826
phoneme,mlp_deep,Autoencoder,remove,1,4,0.8641618497109826
phoneme,mlp_deep,Autoencoder,remove,1,5,0.861271676300578
phoneme,mlp_deep,Autoencoder,remove,1,6,0.861271676300578
phoneme,mlp_deep,Autoencoder,remove,1,7,0.8208092485549133
phoneme,mlp_deep,Autoencoder,remove,1,8,0.8318840579710145
phoneme,mlp_deep,Autoencoder,remove,1,9,0.8666666666666667
phoneme,mlp_deep,Autoencoder,remove,2,0,0.8439306358381503
phoneme,mlp_deep,Autoencoder,remove,2,1,0.884393063583815
phoneme,mlp_deep,Autoencoder,remove,2,2,0.8439306358381503
phoneme,mlp_deep,Autoencoder,remove,2,3,0.8323699421965318
phoneme,mlp_deep,Autoencoder,remove,2,4,0.8728323699421965
phoneme,mlp_deep,Autoencoder,remove,2,5,0.8526011560693642
phoneme,mlp_deep,Autoencoder,remove,2,6,0.8410404624277457
phoneme,mlp_deep,Autoencoder,remove,2,7,0.8728323699421965
phoneme,mlp_deep,Autoencoder,remove,2,8,0.8376811594202899
phoneme,mlp_deep,Autoencoder,remove,2,9,0.863768115942029
