dataset,model,detector,treatment,run,fold,score
phoneme,randomforest,LOF,remove,0,0,0.8815028901734104
phoneme,randomforest,LOF,remove,0,1,0.9017341040462428
phoneme,randomforest,LOF,remove,0,2,0.8959537572254336
phoneme,randomforest,LOF,remove,0,3,0.9075144508670521
phoneme,randomforest,LOF,remove,0,4,0.8988439306358381
phoneme,randomforest,LOF,remove,0,5,0.9017341040462428
phoneme,randomforest,LOF,remove,0,6,0.884393063583815
phoneme,randomforest,LOF,remove,0,7,0.9046242774566474
phoneme,randomforest,LOF,remove,0,8,0.8927536231884058
phoneme,randomforest,LOF,remove,0,9,0.8956521739130435
phoneme,randomforest,LOF,remove,1,0,0.8815028901734104
phoneme,randomforest,LOF,remove,1,1,0.9161849710982659
phoneme,randomforest,LOF,remove,1,2,0.9017341040462428
phoneme,randomforest,LOF,remove,1,3,0.884393063583815
phoneme,randomforest,LOF,remove,1,4,0.9017341040462428
phoneme,randomforest,LOF,remove,1,5,0.8757225433526011
phoneme,randomforest,LOF,remove,1,6,0.8872832369942196
phoneme,randomforest,LOF,remove,1,7,0.9104046242774566
phoneme,randomforest,LOF,remove,1,8,0.9130434782608695
phoneme,randomforest,LOF,remove,1,9,0.9043478260869565
phoneme,randomforest,LOF,remove,2,0,0.9046242774566474
phoneme,randomforest,LOF,remove,2,1,0.8988439306358381
phoneme,randomforest,LOF,remove,2,2,0.8988439306358381
phoneme,randomforest,LOF,remove,2,3,0.8872832369942196
phoneme,randomforest,LOF,remove,2,4,0.9190751445086706
phoneme,randomforest,LOF,remove,2,5,0.9017341040462428
phoneme,randomforest,LOF,remove,2,6,0.9190751445086706
phoneme,randomforest,LOF,remove,2,7,0.9075144508670521
phoneme,randomforest,LOF,remove,2,8,0.8927536231884058
phoneme,randomforest,LOF,remove,2,9,0.8956521739130435
