dataset,model,detector,treatment,run,fold,score
phoneme,randomforest,None,remove,0,0,0.8930635838150289
phoneme,randomforest,None,remove,0,1,0.8959537572254336
phoneme,randomforest,None,remove,0,2,0.9075144508670521
phoneme,randomforest,None,remove,0,3,0.9075144508670521
phoneme,randomforest,None,remove,0,4,0.9046242774566474
phoneme,randomforest,None,remove,0,5,0.884393063583815
phoneme,randomforest,None,remove,0,6,0.8988439306358381
phoneme,randomforest,None,remove,0,7,0.8930635838150289
phoneme,randomforest,None,remove,0,8,0.8840579710144928
phoneme,randomforest,None,remove,0,9,0.9014492753623189
phoneme,randomforest,None,remove,1,0,0.8815028901734104
phoneme,randomforest,None,remove,1,1,0.9075144508670521
phoneme,randomforest,None,remove,1,2,0.8959537572254336
phoneme,randomforest,None,remove,1,3,0.884393063583815
phoneme,randomforest,None,remove,1,4,0.9161849710982659
phoneme,randomforest,None,remove,1,5,0.8786127167630058
phoneme,randomforest,None,remove,1,6,0.8959537572254336
phoneme,randomforest,None,remove,1,7,0.9219653179190751
phoneme,randomforest,None,remove,1,8,0.9072463768115943
phoneme,randomforest,None,remove,1,9,0.9014492753623189
phoneme,randomforest,None,remove,2,0,0.8988439306358381
phoneme,randomforest,None,remove,2,1,0.9046242774566474
phoneme,randomforest,None,remove,2,2,0.8901734104046243
phoneme,randomforest,None,remove,2,3,0.8872832369942196
phoneme,randomforest,None,remove,2,4,0.9132947976878613
phoneme,randomforest,None,remove,2,5,0.8959537572254336
phoneme,randomforest,None,remove,2,6,0.930635838150289
phoneme,randomforest,None,remove,2,7,0.9075144508670521
phoneme,randomforest,None,remove,2,8,0.8927536231884058
phoneme,randomforest,None,remove,2,9,0.8840579710144928
