dataset,model,detector,treatment,run,fold,score
phoneme,randomforest,Percentile,clip,0,0,0.8959537572254336
phoneme,randomforest,Percentile,clip,0,1,0.9017341040462428
phoneme,randomforest,Percentile,clip,0,2,0.8959537572254336
phoneme,randomforest,Percentile,clip,0,3,0.8959537572254336
phoneme,randomforest,Percentile,clip,0,4,0.9075144508670521
phoneme,randomforest,Percentile,clip,0,5,0.8988439306358381
phoneme,randomforest,Percentile,clip,0,6,0.8988439306358381
phoneme,randomforest,Percentile,clip,0,7,0.8901734104046243
phoneme,randomforest,Percentile,clip,0,8,0.8898550724637682
phoneme,randomforest,Percentile,clip,0,9,0.8782608695652174
phoneme,randomforest,Percentile,clip,1,0,0.8959537572254336
phoneme,randomforest,Percentile,clip,1,1,0.9046242774566474
phoneme,randomforest,Percentile,clip,1,2,0.8930635838150289
phoneme,randomforest,Percentile,clip,1,3,0.8786127167630058
phoneme,randomforest,Percentile,clip,1,4,0.9046242774566474
phoneme,randomforest,Percentile,clip,1,5,0.8815028901734104
phoneme,randomforest,Percentile,clip,1,6,0.8872832369942196
phoneme,randomforest,Percentile,clip,1,7,0.9161849710982659
phoneme,randomforest,Percentile,clip,1,8,0.9072463768115943
phoneme,randomforest,Percentile,clip,1,9,0.8898550724637682
phoneme,randomforest,Percentile,clip,2,0,0.9046242774566474
phoneme,randomforest,Percentile,clip,2,1,0.8872832369942196
phoneme,randomforest,Percentile,clip,2,2,0.9046242774566474
phoneme,randomforest,Percentile,clip,2,3,0.8872832369942196
phoneme,randomforest,Percentile,clip,2,4,0.9190751445086706
phoneme,randomforest,Percentile,clip,2,5,0.9017341040462428
phoneme,randomforest,Percentile,clip,2,6,0.9104046242774566
phoneme,randomforest,Percentile,clip,2,7,0.9046242774566474
phoneme,randomforest,Percentile,clip,2,8,0.8753623188405797
phoneme,randomforest,Percentile,clip,2,9,0.8840579710144928
