dataset,model,detector,treatment,run,fold,score
phoneme,randomforest,Percentile,remove,0,0,0.8670520231213873
phoneme,randomforest,Percentile,remove,0,1,0.8497109826589595
phoneme,randomforest,Percentile,remove,0,2,0.8786127167630058
phoneme,randomforest,Percentile,remove,0,3,0.8815028901734104
phoneme,randomforest,Percentile,remove,0,4,0.8526011560693642
phoneme,randomforest,Percentile,remove,0,5,0.8728323699421965
phoneme,randomforest,Percentile,remove,0,6,0.8728323699421965
phoneme,randomforest,Percentile,remove,0,7,0.8872832369942196
phoneme,randomforest,Percentile,remove,0,8,0.8695652173913043
phoneme,randomforest,Percentile,remove,0,9,0.8695652173913043
phoneme,randomforest,Percentile,remove,1,0,0.8526011560693642
phoneme,randomforest,Percentile,remove,1,1,0.8930635838150289
phoneme,randomforest,Percentile,remove,1,2,0.884393063583815
phoneme,randomforest,Percentile,remove,1,3,0.8641618497109826
phoneme,randomforest,Percentile,remove,1,4,0.861271676300578
phoneme,randomforest,Percentile,remove,1,5,0.8641618497109826
phoneme,randomforest,Percentile,remove,1,6,0.8786127167630058
phoneme,randomforest,Percentile,remove,1,7,0.9017341040462428
phoneme,randomforest,Percentile,remove,1,8,0.8521739130434782
phoneme,randomforest,Percentile,remove,1,9,0.8724637681159421
phoneme,randomforest,Percentile,remove,2,0,0.8901734104046243
phoneme,randomforest,Percentile,remove,2,1,0.869942196531792
phoneme,randomforest,Percentile,remove,2,2,0.869942196531792
phoneme,randomforest,Percentile,remove,2,3,0.861271676300578
phoneme,randomforest,Percentile,remove,2,4,0.8786127167630058
phoneme,randomforest,Percentile,remove,2,5,0.8641618497109826
phoneme,randomforest,Percentile,remove,2,6,0.8815028901734104
phoneme,randomforest,Percentile,remove,2,7,0.8728323699421965
phoneme,randomforest,Percentile,remove,2,8,0.855072463768116
phoneme,randomforest,Percentile,remove,2,9,0.8579710144927536
