dataset,model,detector,treatment,run,fold,score
phoneme,xgboost,None,remove,0,0,0.8815028901734104
phoneme,xgboost,None,remove,0,1,0.9104046242774566
phoneme,xgboost,None,remove,0,2,0.8815028901734104
phoneme,xgboost,None,remove,0,3,0.8815028901734104
phoneme,xgboost,None,remove,0,4,0.8901734104046243
phoneme,xgboost,None,remove,0,5,0.8959537572254336
phoneme,xgboost,None,remove,0,6,0.8554913294797688
phoneme,xgboost,None,remove,0,7,0.8815028901734104
phoneme,xgboost,None,remove,0,8,0.8869565217391304
phoneme,xgboost,None,remove,0,9,0.8898550724637682
phoneme,xgboost,None,remove,1,0,0.884393063583815
phoneme,xgboost,None,remove,1,1,0.884393063583815
phoneme,xgboost,None,remove,1,2,0.8930635838150289
phoneme,xgboost,None,remove,1,3,0.8872832369942196
phoneme,xgboost,None,remove,1,4,0.8872832369942196
phoneme,xgboost,None,remove,1,5,0.869942196531792
phoneme,xgboost,None,remove,1,6,0.884393063583815
phoneme,xgboost,None,remove,1,7,0.9046242774566474
phoneme,xgboost,None,remove,1,8,0.9101449275362319
phoneme,xgboost,None,remove,1,9,0.8927536231884058
phoneme,xgboost,None,remove,2,0,0.8959537572254336
phoneme,xgboost,None,remove,2,1,0.8901734104046243
phoneme,xgboost,None,remove,2,2,0.8988439306358381
phoneme,xgboost,None,remove,2,3,0.8728323699421965
phoneme,xgboost,None,remove,2,4,0.9132947976878613
phoneme,xgboost,None,remove,2,5,0.8988439306358381
phoneme,xgboost,None,remove,2,6,0.9075144508670521
phoneme,xgboost,None,remove,2,7,0.8872832369942196
phoneme,xgboost,None,remove,2,8,0.8840579710144928
phoneme,xgboost,None,remove,2,9,0.863768115942029
