dataset,model,detector,treatment,run,fold,score
phoneme,xgboost,Percentile,remove,0,0,0.8786127167630058
phoneme,xgboost,Percentile,remove,0,1,0.846820809248555
phoneme,xgboost,Percentile,remove,0,2,0.8670520231213873
phoneme,xgboost,Percentile,remove,0,3,0.8670520231213873
phoneme,xgboost,Percentile,remove,0,4,0.8670520231213873
phoneme,xgboost,Percentile,remove,0,5,0.8641618497109826
phoneme,xgboost,Percentile,remove,0,6,0.846820809248555
phoneme,xgboost,Percentile,remove,0,7,0.884393063583815
phoneme,xgboost,Percentile,remove,0,8,0.8579710144927536
phoneme,xgboost,Percentile,remove,0,9,0.8695652173913043
phoneme,xgboost,Percentile,remove,1,0,0.8236994219653179
phoneme,xgboost,Percentile,remove,1,1,0.8959537572254336
phoneme,xgboost,Percentile,remove,1,2,0.8757225433526011
phoneme,xgboost,Percentile,remove,1,3,0.8670520231213873
phoneme,xgboost,Percentile,remove,1,4,0.8439306358381503
phoneme,xgboost,Percentile,remove,1,5,0.846820809248555
phoneme,xgboost,Percentile,remove,1,6,0.8670520231213873
phoneme,xgboost,Percentile,remove,1,7,0.8872832369942196
phoneme,xgboost,Percentile,remove,1,8,0.863768115942029
phoneme,xgboost,Percentile,remove,1,9,0.8608695652173913
phoneme,xgboost,Percentile,remove,2,0,0.8930635838150289
phoneme,xgboost,Percentile,remove,2,1,0.861271676300578
phoneme,xgboost,Percentile,remove,2,2,0.8728323699421965
phoneme,xgboost,Percentile,remove,2,3,0.8439306358381503
phoneme,xgboost,Percentile,remove,2,4,0.8641618497109826
phoneme,xgboost,Percentile,remove,2,5,0.8554913294797688
phoneme,xgboost,Percentile,remove,2,6,0.8786127167630058
phoneme,xgboost,Percentile,remove,2,7,0.869942196531792
phoneme,xgboost,Percentile,remove,2,8,0.8463768115942029
phoneme,xgboost,Percentile,remove,2,9,0.863768115942029
